player_id,player,age,g,gs,mp,fg,fga,x3p,x3pa,ft,fta,orb,drb,ast,stl,blk,tov,pf,pts,tm,pos,x2p,x2pa,trb,mpg,season
duranke01,Kevin Durant,21,82,82,3239,794,1668,128,351,756,840,105,518,231,112,84,271,171,2472,OKLAHOMA CITY THUNDER,SMALL FORWARD,666,1317,623,39.5,2010
jamesle01,LeBron James,25,76,76,2966,768,1528,129,387,593,773,71,483,651,125,77,261,119,2258,CLEVELAND CAVALIERS,SMALL FORWARD,639,1141,554,39.026315789473685,2010
wadedw01,Dwyane Wade,28,77,77,2792,719,1511,73,243,534,702,107,266,501,142,82,252,181,2045,MIAMI HEAT,SHOOTING GUARD,646,1268,373,36.25974025974026,2010
nowitdi01,Dirk Nowitzki,31,81,80,3039,720,1496,51,121,536,586,80,540,218,70,79,149,208,2027,DALLAS MAVERICKS,POWER FORWARD,669,1375,620,37.51851851851852,2010
bryanko01,Kobe Bryant,31,73,73,2835,716,1569,99,301,439,541,78,313,365,113,20,233,187,1970,LOS ANGELES LAKERS,SHOOTING GUARD,617,1268,391,38.83561643835616,2010
anthoca01,Carmelo Anthony,25,69,69,2634,688,1502,59,187,508,612,152,302,222,88,30,209,225,1943,DENVER NUGGETS,SMALL FORWARD,629,1315,454,38.17391304347826,2010
stoudam01,Amar'e Stoudemire,27,82,82,2838,704,1264,1,6,487,632,230,502,82,52,83,213,281,1896,PHOENIX SUNS,POWER FORWARD,703,1258,732,34.609756097560975,2010
randoza01,Zach Randolph,28,81,81,3051,652,1336,15,52,362,465,330,620,149,80,34,174,226,1681,MEMPHIS GRIZZLIES,POWER FORWARD,637,1284,950,37.666666666666664,2010
boshch01,Chris Bosh,25,70,70,2526,600,1158,8,22,470,590,205,554,166,43,68,169,170,1678,TORONTO RAPTORS,CENTER,592,1136,759,36.08571428571429,2010
leeda02,David Lee,26,81,81,3019,686,1258,0,8,268,330,228,721,295,85,40,189,257,1640,NEW YORK KNICKS,CENTER,686,1250,949,37.27160493827161,2010
ellismo01,Monta Ellis,24,64,64,2647,631,1406,77,228,292,388,47,210,340,143,25,244,189,1631,GOLDEN STATE WARRIORS,SHOOTING GUARD,554,1178,257,41.359375,2010
johnsjo02,Joe Johnson,28,76,76,2886,635,1386,129,350,220,269,74,279,369,82,5,145,145,1619,ATLANTA HAWKS,SHOOTING GUARD,506,1036,353,37.973684210526315,2010
rosede01,Derrick Rose,21,78,78,2871,672,1373,16,60,259,338,65,228,469,57,27,217,96,1619,CHICAGO BULLS,POINT GUARD,656,1313,293,36.80769230769231,2010
brookaa01,Aaron Brooks,25,82,82,2919,575,1331,209,525,245,298,54,161,434,69,14,232,199,1604,HOUSTON ROCKETS,POINT GUARD,366,806,215,35.59756097560975,2010
gayru01,Rudy Gay,23,80,80,3175,600,1288,66,202,301,400,115,357,153,118,64,169,201,1567,MEMPHIS GRIZZLIES,SMALL FORWARD,534,1086,472,39.6875,2010
lopezbr01,Brook Lopez,21,82,82,3027,563,1129,0,2,416,509,270,439,187,55,139,204,251,1542,NEW JERSEY NETS,CENTER,563,1127,709,36.91463414634146,2010
westda01,David West,29,81,81,2949,619,1226,7,27,296,342,164,441,239,76,60,173,233,1541,NEW ORLEANS HORNETS,POWER FORWARD,612,1199,605,36.407407407407405,2010
