player_id,player,age,g,gs,mp,fg,fga,x3p,x3pa,ft,fta,orb,drb,ast,stl,blk,tov,pf,pts,tm,pos,x2p,x2pa,trb,mpg,season
hardeja01,James Harden,26,82,82,3125,710,1617,236,657,720,837,63,438,612,139,51,374,229,2376,HOUSTON ROCKETS,SHOOTING GUARD,474,960,501,38.109756097560975,2016
curryst01,Stephen Curry,27,79,79,2700,805,1598,402,886,363,400,68,362,527,169,15,262,161,2375,GOLDEN STATE WARRIORS,POINT GUARD,403,712,430,34.177215189873415,2016
duranke01,Kevin Durant,27,72,72,2578,698,1381,186,481,447,498,45,544,361,69,85,250,137,2029,OKLAHOMA CITY THUNDER,SMALL FORWARD,512,900,589,35.80555555555556,2016
jamesle01,LeBron James,31,76,76,2709,737,1416,87,282,359,491,111,454,514,104,49,249,143,1920,CLEVELAND CAVALIERS,SMALL FORWARD,650,1134,565,35.64473684210526,2016
lillada01,Damian Lillard,25,75,75,2676,618,1474,229,610,414,464,45,257,512,65,28,242,165,1879,PORTLAND TRAIL BLAZERS,POINT GUARD,389,864,302,35.68,2016
westbru01,Russell Westbrook,27,80,80,2750,656,1444,101,341,465,573,145,481,834,163,20,342,200,1878,OKLAHOMA CITY THUNDER,POINT GUARD,555,1103,626,34.375,2016
georgpa01,Paul George,25,81,81,2819,605,1449,210,566,454,528,79,484,329,152,29,265,230,1874,INDIANA PACERS,SMALL FORWARD,395,883,563,34.80246913580247,2016
derozde01,DeMar DeRozan,26,78,78,2804,614,1377,47,139,555,653,64,285,315,81,21,175,167,1830,TORONTO RAPTORS,SHOOTING GUARD,567,1238,349,35.94871794871795,2016
thomais02,Isaiah Thomas,26,82,79,2644,591,1382,167,465,474,544,46,197,509,91,9,220,167,1823,BOSTON CELTICS,POINT GUARD,424,917,243,32.24390243902439,2016
thompkl01,Klay Thompson,25,80,80,2666,651,1386,276,650,193,221,35,271,166,60,49,138,152,1771,GOLDEN STATE WARRIORS,SHOOTING GUARD,375,736,306,33.325,2016
