player_id,draft_year,draft_pick
burnsda01,1981,49
holcode01,1981,50
fredrza01,1981,51
macklru01,1981,52
radfoma01,1981,53
smithji01,1981,54
dillami01,1981,55
neverca01,1981,56
brickfr01,1981,57
berrycu01,1981,58
bowerru01,1981,59
millepu01,1981,60
gudmupe01,1981,61
clancsa01,1981,62
mckoywa01,1981,63
bakerto01,1981,64
cornero01,1981,65
dykemcr01,1981,66
smithma01,1981,67
grahaer01,1981,68
johnsjo05,1981,69
mossed01,1981,70
mayjo01,1981,71
sheroed01,1981,72
torrege01,1981,73
martiet01,1981,74
figarke01,1981,75
lloydle01,1981,76
rakerle01,1981,77
dennake01,1981,78
davisro02,1981,79
adolpte01,1981,80
sprigla01,1981,81
davisbb01,1981,82
fraziro01,1981,83
leeol01,1981,84
verhope01,1981,85
bradlal02,1981,86
belchea01,1981,87
mckenke01,1981,88
kooncdo01,1981,89
anderkr01,1981,90
willist01,1981,91
wrighry01,1981,92
budkope01,1981,93
devonge01,1981,94
coopejo01,1981,95
pageke01,1981,96
clarkmi01,1981,97
krafsst01,1981,98
griffan01,1981,99
isbelde01,1981,100
simswi01,1981,101
mcdowha01,1981,102
wittsga01,1981,103
reedus01,1981,104
houstha01,1981,105
peterge01,1981,106
andrehe01,1981,107
nashjo01,1981,108
wrighji01,1981,109
rhodemi01,1981,110
wattscr01,1981,111
heuerpa01,1981,112
troyke01,1981,113
craigst01,1981,114
grunwgl01,1981,115
bankoka01,1981,116
brookvi01,1981,117
lynamke01,1981,118
sprewke01,1981,119
strayaa01,1981,120
warwida01,1981,121
banksea01,1981,122
peppemi01,1981,123
weathal01,1981,124
williro07,1981,125
scottca02,1981,126
cowanfr01,1981,127
walkebr02,1981,128
fronkro01,1981,129
burkmro01,1981,130
arniero01,1981,131
blairjo01,1981,132
shaveno01,1981,133
singlke01,1981,134
harripe02,1981,135
huntejo01,1981,136
waitest01,1981,137
thomami01,1981,138
davisda03,1981,139
nancegr01,1981,140
roberro02,1981,141
smithan02,1981,142
robinmi03,1981,143
veseyke01,1981,144
sienkto01,1981,145
johnsra03,1981,146
mannigr01,1981,147
dostyro01,1981,148
martera01,1981,149
wheelcl01,1981,150
fainejo01,1981,151
mckinla01,1981,152
wayneju01,1981,153
willisc02,1981,154
cramete01,1981,155
mindema01,1981,156
pettyla01,1981,157
willida03,1981,158
latimle01,1981,159
crawfjo04,1981,160
seamato01,1981,161
kenneda01,1981,162
schoejo01,1981,163
webbke01,1981,164
cattabo01,1981,165
marcugl01,1981,166
salingi01,1981,167
hayneto01,1981,168
reddicu01,1981,169
howarmi01,1981,170
okayaya01,1981,171
brewest01,1981,172
smithra03,1981,173
hatzele01,1981,174
mitchbe01,1981,175
smithjo07,1981,176
oconnbr01,1981,177
barthbo01,1981,178
trianja01,1981,179
rislest01,1981,180
brkovmi01,1981,181
morroge01,1981,182
gilrofr01,1981,183
hollijo01,1981,184
bakered01,1981,185
williru01,1981,186
robapa01,1981,187
ollieke02,1981,188
thompho02,1981,189
jonesar01,1981,190
burtoan01,1981,191
murredo02,1981,192
browned01,1981,193
perrymi01,1981,194
whitlsc01,1981,195
willisi01,1981,196
martite03,1981,197
headdma01,1981,198
marqule01,1981,199
johnsbr03,1981,200
ruckech01,1981,201
wistero01,1981,202
mccragr01,1981,203
bosansc01,1981,204
maxweme01,1981,205
sisonvi01,1981,206
mertejo01,1981,207
boonegr01,1981,208
frazimi02,1981,209
gwynnto01,1981,210
rowlade01,1981,211
wayra01,1981,212
brookba01,1981,213
wilsoma01,1981,214
bensoro01,1981,215
easleke01,1981,216
cochrst01,1981,217
rogerke01,1981,218
brookal01,1981,219
sealefe01,1981,220
greenar01,1981,221
matthke01,1981,222
mullepe01,1981,223
worthja01,1982,1
