player_id,player,age,g,gs,mp,fg,fga,x3p,x3pa,ft,fta,orb,drb,ast,stl,blk,tov,pf,pts,tm,pos,x2p,x2pa,trb,mpg,season
stackje01,Jerry Stackhouse,26,80,80,3215,774,1927,166,473,666,810,99,216,410,97,54,326,160,2380,DETROIT PISTONS,SHOOTING GUARD,608,1454,315,40.1875,2001
iversal01,Allen Iverson,25,71,71,2979,762,1813,98,306,585,719,50,223,325,178,20,237,147,2207,PHILADELPHIA 76ERS,SHOOTING GUARD,664,1507,273,41.95774647887324,2001
onealsh01,Shaquille O'Neal,28,74,74,2924,813,1422,0,2,499,972,291,649,277,47,204,218,256,2125,LOS ANGELES LAKERS,CENTER,813,1420,940,39.513513513513516,2001
piercpa01,Paul Pierce,23,82,82,3120,687,1513,147,384,550,738,94,428,253,138,69,262,251,2071,BOSTON CELTICS,SMALL FORWARD,540,1129,522,38.048780487804876,2001
cartevi01,Vince Carter,24,75,75,2979,762,1656,162,397,384,502,176,240,291,114,82,167,205,2070,TORONTO RAPTORS,SMALL FORWARD,600,1259,416,39.72,2001
mcgratr01,Tracy McGrady,21,77,77,3087,788,1724,59,166,430,587,192,388,352,116,118,198,160,2065,ORLANDO MAGIC,SHOOTING GUARD,729,1558,580,40.09090909090909,2001
jamisan01,Antawn Jamison,24,82,82,3394,800,1812,62,205,382,534,280,435,164,114,28,199,225,2044,GOLDEN STATE WARRIORS,SMALL FORWARD,738,1607,715,41.390243902439025,2001
bryanko01,Kobe Bryant,22,68,68,2783,701,1510,61,200,475,557,104,295,338,114,43,220,222,1938,LOS ANGELES LAKERS,SHOOTING GUARD,640,1310,399,40.9264705882353,2001
webbech01,Chris Webber,27,70,70,2836,786,1635,2,28,324,461,179,598,294,93,118,195,226,1898,SACRAMENTO KINGS,POWER FORWARD,784,1607,777,40.51428571428571,2001
walkean02,Antoine Walker,24,81,81,3396,711,1720,221,603,249,348,151,568,445,138,49,301,251,1892,BOSTON CELTICS,POWER FORWARD,490,1117,719,41.925925925925924,2001
malonka01,Karl Malone,37,81,81,2895,670,1345,2,5,536,676,114,555,361,93,62,244,216,1878,UTAH JAZZ,POWER FORWARD,668,1340,669,35.74074074074074,2001
paytoga01,Gary Payton,32,79,79,3244,725,1591,102,272,271,354,73,288,642,127,26,209,184,1823,SEATTLE SUPERSONICS,POINT GUARD,623,1319,361,41.063291139240505,2001
duncati01,Tim Duncan,24,82,82,3174,702,1406,7,27,409,662,259,738,245,70,192,242,247,1820,SAN ANTONIO SPURS,POWER FORWARD,695,1379,997,38.707317073170735,2001
