player_id,player,age,g,gs,mp,fg,fga,x3p,x3pa,ft,fta,orb,drb,ast,stl,blk,tov,pf,pts,tm,pos,x2p,x2pa,trb,mpg,season
englial01,Alex English,29,82,82,2988,959,1857,2,12,406,490,263,338,397,116,126,263,235,2326,DENVER NUGGETS,SMALL FORWARD,957,1845,601,36.4390243902439,1983
vandeki01,Kiki Vandeweghe,24,82,79,2909,841,1537,15,51,489,559,124,313,203,66,38,177,198,2186,DENVER NUGGETS,POWER FORWARD,826,1486,437,35.47560975609756,1983
gervige01,George Gervin,30,78,78,2830,757,1553,12,33,517,606,111,246,264,88,67,247,243,2043,SAN ANTONIO SPURS,SHOOTING GUARD,745,1520,357,36.282051282051285,1983
aguirma01,Mark Aguirre,23,81,75,2784,767,1589,16,76,429,589,191,317,332,80,26,261,247,1979,DALLAS MAVERICKS,SMALL FORWARD,751,1513,508,34.370370370370374,1983
theusre01,Reggie Theus,25,82,81,2856,749,1567,21,91,434,542,91,209,484,143,17,321,281,1953,CHICAGO BULLS,POINT GUARD,728,1476,300,34.829268292682926,1983
malonmo01,Moses Malone,27,78,78,2922,654,1305,0,1,600,788,445,749,101,89,157,264,206,1908,PHILADELPHIA 76ERS,CENTER,654,1304,1194,37.46153846153846,1983
carrojo01,Joe Barry Carroll,24,79,79,2988,785,1529,0,3,337,469,220,468,169,108,155,285,260,1907,GOLDEN STATE WARRIORS,CENTER,785,1526,688,37.822784810126585,1983
birdla01,Larry Bird,26,79,79,2982,747,1481,22,77,351,418,193,677,458,148,71,240,197,1867,BOSTON CELTICS,POWER FORWARD,725,1404,870,37.74683544303797,1983
thomais01,Isiah Thomas,21,81,81,3093,725,1537,36,125,368,518,105,223,634,199,29,326,318,1854,DETROIT PISTONS,POINT GUARD,689,1412,328,38.18518518518518,1983
paxsoji02,Jim Paxson,25,81,81,2740,682,1323,4,25,388,478,68,106,231,140,17,156,160,1756,PORTLAND TRAIL BLAZERS,SHOOTING GUARD,678,1298,174,33.82716049382716,1983
isselda01,Dan Issel,34,80,80,2431,661,1296,4,19,400,479,151,445,223,83,43,174,227,1726,DENVER NUGGETS,CENTER,657,1277,596,30.3875,1983
abdulka01,Kareem Abdul-Jabbar,35,79,79,2554,722,1228,0,2,278,371,167,425,200,61,170,200,220,1722,LOS ANGELES LAKERS,CENTER,722,1226,592,32.32911392405063,1983
johnsma01,Marques Johnson,26,80,80,2853,723,1420,4,20,264,359,196,366,363,100,56,196,211,1714,MILWAUKEE BUCKS,SMALL FORWARD,719,1400,562,35.6625,1983
moncrsi01,Sidney Moncrief,25,76,76,2710,606,1156,1,10,499,604,192,245,300,113,23,197,180,1712,MILWAUKEE BUCKS,SHOOTING GUARD,605,1146,437,35.6578947368421,1983
griffda01,Darrell Griffith,24,77,76,2787,752,1554,38,132,167,246,100,204,270,138,33,252,184,1709,UTAH JAZZ,SHOOTING GUARD,714,1422,304,36.1948051948052,1983
cummite01,Terry Cummings,21,70,69,2531,684,1309,0,1,292,412,303,441,177,129,62,204,294,1660,TOT,POWER FORWARD,684,1308,744,36.15714285714286,1983
