player_id,player,age,g,gs,mp,fg,fga,x3p,x3pa,ft,fta,orb,drb,ast,stl,blk,tov,pf,pts,tm,pos,x2p,x2pa,trb,mpg,season
iversal01,Allen Iverson,29,75,75,3174,771,1818,104,338,656,786,51,248,596,180,9,344,140,2302,PHILADELPHIA 76ERS,POINT GUARD,667,1480,299,42.32,2005
jamesle01,LeBron James,20,80,80,3388,795,1684,108,308,477,636,111,477,577,177,52,262,146,2175,CLEVELAND CAVALIERS,SMALL FORWARD,687,1376,588,42.35,2005
stoudam01,Amar'e Stoudemire,22,80,80,2889,747,1336,3,16,583,795,219,494,131,77,130,189,278,2080,PHOENIX SUNS,CENTER,744,1320,713,36.1125,2005
arenagi01,Gilbert Arenas,23,80,80,3274,656,1523,205,562,521,640,83,295,411,139,23,242,245,2038,WASHINGTON WIZARDS,POINT GUARD,451,961,378,40.925,2005
nowitdi01,Dirk Nowitzki,26,78,78,3020,663,1445,91,228,615,708,96,661,240,97,119,176,219,2032,DALLAS MAVERICKS,POWER FORWARD,572,1217,757,38.717948717948715,2005
mcgratr01,Tracy McGrady,25,78,78,3182,715,1660,142,435,431,557,71,413,448,135,52,201,167,2003,HOUSTON ROCKETS,SMALL FORWARD,573,1225,484,40.794871794871796,2005
allenra02,Ray Allen,29,78,78,3064,640,1494,209,556,378,428,79,268,289,84,5,171,167,1867,SEATTLE SUPERSONICS,SHOOTING GUARD,431,938,347,39.282051282051285,2005
wadedw01,Dwyane Wade,23,77,77,2974,630,1318,13,45,581,762,110,287,520,121,82,321,230,1854,MIAMI HEAT,SHOOTING GUARD,617,1273,397,38.62337662337662,2005
bryanko01,Kobe Bryant,26,66,66,2689,573,1324,131,387,542,664,95,297,398,86,53,270,174,1819,LOS ANGELES LAKERS,SHOOTING GUARD,442,937,392,40.74242424242424,2005
garneke01,Kevin Garnett,28,82,82,3121,683,1360,6,25,445,549,247,861,466,121,112,222,207,1817,MINNESOTA TIMBERWOLVES,POWER FORWARD,677,1335,1108,38.0609756097561,2005
marbust01,Stephon Marbury,27,82,82,3281,604,1308,115,325,458,549,50,198,668,122,6,233,186,1781,NEW YORK KNICKS,POINT GUARD,489,983,248,40.01219512195122,2005
piercpa01,Paul Pierce,27,82,82,2960,556,1223,108,292,549,668,78,461,348,133,39,230,255,1769,BOSTON CELTICS,SMALL FORWARD,448,931,539,36.09756097560975,2005
reddmi01,Michael Redd,25,75,75,2848,625,1418,104,293,369,432,72,240,172,63,8,133,152,1723,MILWAUKEE BUCKS,SHOOTING GUARD,521,1125,312,37.973333333333336,2005
onealsh01,Shaquille O'Neal,32,73,73,2492,658,1095,0,0,353,765,253,507,200,36,171,203,262,1669,MIAMI HEAT,CENTER,658,1095,760,34.136986301369866,2005
francst01,Steve Francis,27,78,78,2978,563,1330,38,127,499,606,126,324,547,112,28,317,273,1663,ORLANDO MAGIC,POINT GUARD,525,1203,450,38.17948717948718,2005
brandel01,Elton Brand,25,81,81,3001,629,1251,0,3,364,484,296,474,208,62,169,183,240,1622,LOS ANGELES CLIPPERS,POWER FORWARD,629,1248,770,37.04938271604938,2005
bibbymi01,Mike Bibby,26,80,80,3084,560,1264,131,364,320,413,77,255,541,124,30,203,191,1571,SACRAMENTO KINGS,POINT GUARD,429,900,332,38.55,2005
mariosh01,Shawn Marion,26,81,81,3146,613,1289,114,341,229,275,235,680,154,163,119,125,199,1569,PHOENIX SUNS,POWER FORWARD,499,948,915,38.839506172839506,2005
richaja01,Jason Richardson,24,72,72,2724,610,1368,125,370,214,309,125,299,281,105,32,169,156,1559,GOLDEN STATE WARRIORS,SHOOTING GUARD,485,998,424,37.833333333333336,2005
anthoca01,Carmelo Anthony,20,75,75,2608,530,1230,42,158,456,573,141,285,194,68,30,224,229,1558,DENVER NUGGETS,SMALL FORWARD,488,1072,426,34.77333333333333,2005
roseja01,Jalen Rose,32,81,65,2710,527,1159,108,274,333,390,44,232,209,63,10,180,190,1495,TORONTO RAPTORS,SMALL FORWARD,419,885,276,33.45679012345679,2005
mingya01,Yao Ming,24,80,80,2447,538,975,0,0,389,497,208,461,61,34,160,196,298,1465,HOUSTON ROCKETS,CENTER,538,975,669,30.5875,2005
maggeco01,Corey Maggette,25,66,60,2436,425,986,51,168,563,657,70,324,225,70,8,195,191,1464,LOS ANGELES CLIPPERS,SHOOTING GUARD,374,818,394,36.90909090909091,2005
lewisra02,Rashard Lewis,25,71,71,2697,532,1151,173,432,220,283,110,278,94,75,62,123,158,1457,SEATTLE SUPERSONICS,SMALL FORWARD,359,719,388,37.985915492957744,2005
hamilri01,Richard Hamilton,26,76,76,2926,510,1160,36,118,368,429,74,221,372,77,13,217,232,1424,DETROIT PISTONS,SHOOTING GUARD,474,1042,295,38.5,2005
johnsjo02,Joe Johnson,23,82,82,3240,544,1179,177,370,135,180,120,302,291,79,24,148,167,1400,PHOENIX SUNS,SMALL FORWARD,367,809,422,39.51219512195122,2005
masonde01,Desmond Mason,27,80,71,2893,478,1079,1,8,420,524,85,227,217,58,27,164,198,1377,MILWAUKEE BUCKS,SMALL FORWARD,477,1071,312,36.1625,2005
boshch01,Chris Bosh,20,81,81,3017,473,1005,3,10,412,542,194,524,153,76,113,187,226,1361,TORONTO RAPTORS,POWER FORWARD,470,995,718,37.24691358024691,2005
hughela01,Larry Hughes,26,61,61,2358,467,1086,59,209,352,453,74,308,285,176,18,153,168,1345,WASHINGTON WIZARDS,SHOOTING GUARD,408,877,382,38.65573770491803,2005
duncati01,Tim Duncan,28,66,66,2203,517,1042,3,9,305,455,202,530,179,45,174,127,144,1342,SAN ANTONIO SPURS,POWER FORWARD,514,1033,732,33.378787878787875,2005
jamisan01,Antawn Jamison,28,68,68,2605,519,1189,71,208,225,296,160,359,154,55,16,118,151,1334,WASHINGTON WIZARDS,POWER FORWARD,448,981,519,38.30882352941177,2005
parketo01,Tony Parker,22,80,80,2735,539,1118,43,156,210,323,47,251,491,98,4,215,167,1331,SAN ANTONIO SPURS,POINT GUARD,496,962,298,34.1875,2005
stojape01,Peja Stojaković,27,66,66,2534,451,1016,174,433,253,275,62,223,138,79,12,102,157,1329,SACRAMENTO KINGS,SMALL FORWARD,277,583,285,38.39393939393939,2005
ilgauzy01,Zydrunas Ilgauskas,29,78,78,2615,458,979,2,7,402,503,299,373,100,53,165,191,313,1320,CLEVELAND CAVALIERS,CENTER,456,972,672,33.52564102564103,2005
hillgr01,Grant Hill,32,67,67,2338,517,1015,3,13,280,341,77,241,220,97,28,161,144,1317,ORLANDO MAGIC,SMALL FORWARD,514,1002,318,34.8955223880597,2005
billuch01,Chauncey Billups,28,80,80,2866,404,913,165,387,343,382,48,223,464,81,9,180,194,1316,DETROIT PISTONS,POINT GUARD,239,526,271,35.825,2005
davisri01,Ricky Davis,25,82,11,2696,481,1041,61,180,286,351,66,183,246,89,27,205,174,1309,BOSTON CELTICS,SHOOTING GUARD,420,861,249,32.8780487804878,2005
stoudda01,Damon Stoudamire,31,81,70,2762,457,1165,181,490,182,199,56,254,458,86,2,164,158,1277,PORTLAND TRAIL BLAZERS,POINT GUARD,276,675,310,34.098765432098766,2005
szczewa02,Wally Szczerbiak,27,81,37,2558,465,919,63,169,260,304,82,221,191,40,16,132,178,1253,MINNESOTA TIMBERWOLVES,SMALL FORWARD,402,750,303,31.580246913580247,2005
crawfja01,Jamal Crawford,24,70,67,2688,437,1097,185,512,182,216,33,170,302,92,19,148,135,1241,NEW YORK KNICKS,SHOOTING GUARD,252,585,203,38.4,2005
gordobe01,Ben Gordon,21,82,3,2002,434,1056,134,331,233,270,55,160,164,53,10,186,224,1235,CHICAGO BULLS,SHOOTING GUARD,300,725,215,24.414634146341463,2005
simmobo01,Bobby Simmons,24,75,74,2799,474,1017,50,115,231,273,128,318,205,106,16,135,227,1229,LOS ANGELES CLIPPERS,SMALL FORWARD,424,902,446,37.32,2005
hinriki01,Kirk Hinrich,24,77,77,2800,445,1122,145,408,171,216,32,272,494,122,21,176,244,1206,CHICAGO BULLS,POINT GUARD,300,714,304,36.36363636363637,2005
princta01,Tayshaun Prince,24,82,82,3039,469,963,47,138,221,274,133,302,247,56,71,135,161,1206,DETROIT PISTONS,SMALL FORWARD,422,825,435,37.0609756097561,2005
butleca01,Caron Butler,24,77,77,2746,441,991,38,125,275,319,146,304,146,110,23,125,213,1195,LOS ANGELES LAKERS,SMALL FORWARD,403,866,450,35.66233766233766,2005
ginobma01,Manu Ginóbili,27,74,74,2193,367,780,97,258,355,442,75,254,288,119,27,172,190,1186,SAN ANTONIO SPURS,SHOOTING GUARD,270,522,329,29.635135135135137,2005
goodedr01,Drew Gooden,23,82,80,2523,464,943,5,28,251,310,207,546,130,77,76,133,233,1184,CLEVELAND CAVALIERS,POWER FORWARD,459,915,753,30.76829268292683,2005
richaqu01,Quentin Richardson,24,79,78,2839,407,1045,226,631,136,184,91,388,158,96,27,102,197,1176,PHOENIX SUNS,SHOOTING GUARD,181,414,479,35.936708860759495,2005
nashst01,Steve Nash,30,75,75,2573,430,857,94,218,211,238,57,192,861,74,6,245,136,1165,PHOENIX SUNS,POINT GUARD,336,639,249,34.306666666666665,2005
harrial01,Al Harrington,24,66,66,2550,453,986,16,74,236,351,145,316,208,85,16,204,249,1158,ATLANTA HAWKS,SMALL FORWARD,437,912,461,38.63636363636363,2005
wallara01,Rasheed Wallace,30,79,79,2687,467,1062,75,236,136,195,174,470,142,65,115,127,236,1145,DETROIT PISTONS,POWER FORWARD,392,826,644,34.0126582278481,2005
alstora01,Rafer Alston,28,80,78,2717,403,974,139,389,191,258,42,237,514,118,7,170,212,1136,TORONTO RAPTORS,POINT GUARD,264,585,279,33.9625,2005
atkinch01,Chucky Atkins,30,82,82,2903,388,910,176,455,163,203,31,166,358,73,2,151,181,1115,LOS ANGELES LAKERS,POINT GUARD,212,455,197,35.40243902439025,2005
millean02,Andre Miller,28,82,82,2852,427,895,6,39,253,302,100,238,569,121,8,220,204,1113,DENVER NUGGETS,POINT GUARD,421,856,338,34.78048780487805,2005
okafoem01,Emeka Okafor,22,73,73,2600,448,1003,0,1,209,343,275,520,64,62,125,125,214,1105,CHARLOTTE BOBCATS,POWER FORWARD,448,1002,795,35.61643835616438,2005
harprma01,Matt Harpring,28,78,55,2584,418,855,9,43,245,315,196,284,142,70,16,133,250,1090,UTAH JAZZ,SMALL FORWARD,409,812,480,33.12820512820513,2005
martike01,Kenyon Martin,27,70,67,2272,444,907,0,12,199,308,146,365,170,100,78,149,228,1087,DENVER NUGGETS,POWER FORWARD,444,895,511,32.457142857142856,2005
murphtr01,Troy Murphy,24,70,69,2375,392,947,59,148,233,319,251,505,97,53,33,108,190,1076,GOLDEN STATE WARRIORS,POWER FORWARD,333,799,756,33.92857142857143,2005
onealje01,Jermaine O'Neal,26,44,41,1530,386,854,1,6,295,391,85,303,82,25,88,131,173,1068,INDIANA PACERS,POWER FORWARD,385,848,388,34.77272727272727,2005
dunlemi02,Mike Dunleavy,24,79,79,2570,408,905,107,276,134,172,97,338,203,79,26,132,198,1057,GOLDEN STATE WARRIORS,SMALL FORWARD,301,629,435,32.53164556962025,2005
okurme01,Mehmet Okur,25,82,25,2304,354,756,17,63,329,387,194,422,166,32,68,141,227,1054,UTAH JAZZ,CENTER,337,693,616,28.097560975609756,2005
petermo01,Morris Peterson,27,82,61,2510,356,848,129,335,188,226,71,269,169,91,18,93,219,1029,TORONTO RAPTORS,SHOOTING GUARD,227,513,340,30.609756097560975,2005
millemi01,Mike Miller,24,76,51,2278,387,766,140,323,108,150,36,264,220,54,23,127,197,1022,MEMPHIS GRIZZLIES,SMALL FORWARD,247,443,300,29.973684210526315,2005
sprewla01,Latrell Sprewell,34,80,79,2450,398,961,69,211,156,188,65,189,179,53,21,127,124,1021,MINNESOTA TIMBERWOLVES,SMALL FORWARD,329,750,254,30.625,2005
jonesed02,Eddie Jones,33,80,80,2839,351,820,142,382,174,216,38,367,212,86,38,99,251,1018,MIAMI HEAT,SMALL FORWARD,209,438,405,35.4875,2005
boykiea01,Earl Boykins,28,82,5,2162,340,824,56,166,279,303,37,106,372,78,12,121,122,1015,DENVER NUGGETS,POINT GUARD,284,658,143,26.365853658536587,2005
curryed01,Eddy Curry,22,63,60,1808,393,730,0,0,226,314,116,222,37,21,58,163,202,1012,CHICAGO BULLS,CENTER,393,730,338,28.6984126984127,2005
finlemi01,Michael Finley,31,64,64,2358,387,907,116,285,113,136,45,217,169,48,18,60,123,1003,DALLAS MAVERICKS,SHOOTING GUARD,271,622,262,36.84375,2005
gasolpa01,Pau Gasol,24,56,53,1790,357,695,1,6,282,367,130,280,135,37,93,137,146,997,MEMPHIS GRIZZLIES,POWER FORWARD,356,689,410,31.964285714285715,2005
terryja01,Jason Terry,27,80,57,2401,372,743,103,245,146,173,38,150,429,109,15,147,177,993,DALLAS MAVERICKS,POINT GUARD,269,498,188,30.0125,2005
howardw01,Dwight Howard,19,82,82,2670,352,677,0,2,277,413,287,536,75,77,136,165,232,981,ORLANDO MAGIC,POWER FORWARD,352,675,823,32.5609756097561,2005
mcinnje01,Jeff McInnis,30,76,69,2651,377,915,91,264,130,160,32,125,391,56,1,117,177,975,CLEVELAND CAVALIERS,POINT GUARD,286,651,157,34.88157894736842,2005
odomla01,Lamar Odom,25,64,64,2320,366,774,36,117,207,298,134,519,238,42,65,161,211,975,LOS ANGELES LAKERS,POWER FORWARD,330,657,653,36.25,2005
millere01,Reggie Miller,39,66,66,2105,314,719,96,298,250,268,18,138,146,50,5,77,109,974,INDIANA PACERS,SHOOTING GUARD,218,421,156,31.893939393939394,2005
jacksma02,Marc Jackson,30,81,23,1976,340,731,0,2,289,349,184,222,81,32,18,131,171,969,PHILADELPHIA 76ERS,CENTER,340,729,406,24.395061728395063,2005
nailole01,Lee Nailon,29,68,51,2017,415,869,0,2,133,165,128,170,109,36,16,110,190,963,NEW ORLEANS HORNETS,SMALL FORWARD,415,867,298,29.66176470588235,2005
howarjo01,Josh Howard,24,76,76,2446,377,793,34,115,170,232,169,315,109,116,49,122,211,958,DALLAS MAVERICKS,SMALL FORWARD,343,678,484,32.18421052631579,2005
jonesda01,Damon Jones,28,82,66,2576,331,726,225,521,68,86,14,217,350,44,5,98,121,955,MIAMI HEAT,POINT GUARD,106,205,231,31.414634146341463,2005
jacksst02,Stephen Jackson,26,51,49,1806,330,819,103,286,190,229,44,206,119,64,14,123,154,953,INDIANA PACERS,SMALL FORWARD,227,533,250,35.411764705882355,2005
kiddja01,Jason Kidd,31,66,65,2435,340,855,129,358,142,192,94,394,545,123,9,167,110,951,NEW JERSEY NETS,POINT GUARD,211,497,488,36.89393939393939,2005
korveky01,Kyle Korver,23,82,57,2667,317,759,226,558,82,96,40,339,182,103,33,106,265,942,PHILADELPHIA 76ERS,SMALL FORWARD,91,201,379,32.52439024390244,2005
brezepr01,Primož Brezec,25,72,72,2276,387,756,0,0,164,220,226,305,86,33,55,106,183,938,CHARLOTTE BOBCATS,CENTER,387,756,531,31.61111111111111,2005
turkohe01,Hedo Türkoğlu,25,67,11,1757,328,782,93,245,188,225,62,171,153,41,18,119,140,937,ORLANDO MAGIC,SMALL FORWARD,235,537,233,26.223880597014926,2005
thomaku01,Kurt Thomas,32,80,80,2855,424,901,2,4,66,84,170,661,160,70,79,99,310,916,NEW YORK KNICKS,POWER FORWARD,422,897,831,35.6875,2005
abdursh01,Shareef Abdur-Rahim,28,54,49,1867,337,670,15,39,220,254,123,269,111,49,26,117,150,909,PORTLAND TRAIL BLAZERS,POWER FORWARD,322,631,392,34.574074074074076,2005
boozeca01,Carlos Boozer,23,51,51,1772,361,693,0,1,187,268,141,316,144,41,24,137,179,909,UTAH JAZZ,POWER FORWARD,361,692,457,34.745098039215684,2005
brownpj01,P.J. Brown,35,82,78,2817,338,758,0,0,210,243,266,471,178,74,50,101,233,886,NEW ORLEANS HORNETS,POWER FORWARD,338,758,737,34.353658536585364,2005
lafrera01,Raef LaFrentz,28,80,80,2196,341,688,82,225,120,148,154,399,98,42,99,70,262,884,BOSTON CELTICS,POWER FORWARD,259,463,553,27.45,2005
fishede01,Derek Fisher,30,74,32,2222,297,755,108,291,175,203,38,180,301,76,4,129,176,877,GOLDEN STATE WARRIORS,POINT GUARD,189,464,218,30.027027027027028,2005
millebr01,Brad Miller,28,56,56,2089,319,609,5,19,233,287,139,382,220,69,68,82,181,876,SACRAMENTO KINGS,CENTER,314,590,521,37.30357142857143,2005
paytoga01,Gary Payton,36,77,77,2541,339,725,42,129,153,201,48,188,469,88,12,148,121,873,BOSTON CELTICS,POINT GUARD,297,596,236,33.0,2005
randoza01,Zach Randolph,23,46,37,1603,332,741,0,6,207,254,142,300,86,34,17,112,112,871,PORTLAND TRAIL BLAZERS,POWER FORWARD,332,735,442,34.84782608695652,2005
hasleud01,Udonis Haslem,24,80,80,2675,346,641,0,4,178,225,239,487,108,63,41,113,260,870,MIAMI HEAT,POWER FORWARD,346,637,726,33.4375,2005
thomati01,Tim Thomas,27,71,68,1940,315,718,85,208,136,173,45,192,110,41,17,113,222,851,NEW YORK KNICKS,SMALL FORWARD,230,510,237,27.323943661971832,2005
daniean01,Antonio Daniels,29,75,2,2026,273,623,49,165,248,304,20,149,309,51,3,78,78,843,SEATTLE SUPERSONICS,POINT GUARD,224,458,169,27.013333333333332,2005
stackje01,Jerry Stackhouse,30,56,7,1617,274,662,32,120,253,298,38,145,127,53,10,106,104,833,DALLAS MAVERICKS,SHOOTING GUARD,242,542,183,28.875,2005
ridnolu01,Luke Ridnour,23,82,82,2571,299,739,67,178,159,180,55,149,483,94,23,149,185,824,SEATTLE SUPERSONICS,POINT GUARD,232,561,204,31.353658536585368,2005
willima01,Mo Williams,22,80,80,2254,323,737,32,99,136,160,50,194,484,74,11,196,221,814,MILWAUKEE BUCKS,POINT GUARD,291,638,244,28.175,2005
jonesfr01,Fred Jones,25,77,14,2268,275,647,87,229,176,207,34,208,196,61,31,114,171,813,INDIANA PACERS,SHOOTING GUARD,188,418,242,29.454545454545453,2005
smithjo02,Joe Smith,29,74,73,2265,319,621,0,1,175,228,179,362,67,43,38,79,222,813,MILWAUKEE BUCKS,POWER FORWARD,319,620,541,30.60810810810811,2005
milesda01,Darius Miles,23,63,22,1699,336,697,8,23,129,215,71,228,129,75,78,157,189,809,PORTLAND TRAIL BLAZERS,SMALL FORWARD,328,674,299,26.96825396825397,2005
patteru01,Ruben Patterson,29,70,36,1957,319,601,2,25,169,282,126,147,138,106,21,143,164,809,PORTLAND TRAIL BLAZERS,SMALL FORWARD,317,576,273,27.957142857142856,2005
childjo01,Josh Childress,21,80,44,2376,302,642,13,56,190,231,195,287,151,74,35,106,184,807,ATLANTA HAWKS,SHOOTING GUARD,289,586,482,29.7,2005
cassesa01,Sam Cassell,35,59,38,1522,319,687,27,103,134,155,25,132,301,36,14,109,160,799,MINNESOTA TIMBERWOLVES,POINT GUARD,292,584,157,25.796610169491526,2005
battish01,Shane Battier,26,80,72,2516,271,613,70,177,180,228,158,255,126,91,77,75,201,792,MEMPHIS GRIZZLIES,SHOOTING GUARD,201,436,413,31.45,2005
smithjr01,J.R. Smith,19,76,56,1859,295,748,81,281,111,161,39,113,142,55,11,109,135,782,NEW ORLEANS HORNETS,SHOOTING GUARD,214,467,152,24.460526315789473,2005
wallage01,Gerald Wallace,22,70,68,2147,286,637,17,62,191,289,118,268,137,117,91,159,182,780,CHARLOTTE BOBCATS,SMALL FORWARD,269,575,386,30.67142857142857,2005
bellra01,Raja Bell,28,63,32,1790,303,667,54,134,112,150,48,153,91,44,8,79,205,772,UTAH JAZZ,SHOOTING GUARD,249,533,201,28.41269841269841,2005
blounma01,Mark Blount,29,82,57,2130,327,618,0,1,117,164,143,254,129,33,64,158,229,771,BOSTON CELTICS,CENTER,327,617,397,25.975609756097562,2005
wrighlo02,Lorenzen Wright,29,80,77,2287,320,683,0,3,131,198,177,436,87,58,69,100,251,771,MEMPHIS GRIZZLIES,CENTER,320,680,613,28.5875,2005
krstine01,Nenad Krstić,21,75,57,1965,281,570,0,2,185,255,161,240,77,32,63,112,280,747,NEW JERSEY NETS,POWER FORWARD,281,568,401,26.2,2005
marshdo01,Donyell Marshall,31,65,2,1645,262,592,151,363,72,91,95,333,81,57,46,42,136,747,TORONTO RAPTORS,POWER FORWARD,111,229,428,25.307692307692307,2005
iguodan01,Andre Iguodala,21,82,82,2686,269,546,47,142,156,210,89,375,246,138,48,139,204,741,PHILADELPHIA 76ERS,SHOOTING GUARD,222,404,464,32.75609756097561,2005
radmavl01,Vladimir Radmanović,24,63,0,1856,266,650,128,329,81,103,52,237,86,57,31,80,172,741,SEATTLE SUPERSONICS,POWER FORWARD,138,321,289,29.46031746031746,2005
mcdyean01,Antonio McDyess,30,77,8,1797,307,598,0,1,126,192,177,305,71,46,52,93,204,740,DETROIT PISTONS,POWER FORWARD,307,597,482,23.337662337662337,2005
mihmch01,Chris Mihm,25,75,75,1870,280,552,0,2,175,258,197,305,50,14,108,110,237,735,LOS ANGELES LAKERS,CENTER,280,550,502,24.933333333333334,2005
jefferi01,Richard Jefferson,24,33,33,1355,238,564,30,89,227,269,49,191,133,33,17,132,109,733,NEW JERSEY NETS,SMALL FORWARD,208,475,240,41.06060606060606,2005
wallabe01,Ben Wallace,30,74,74,2671,295,651,1,9,130,304,292,610,123,106,176,82,159,721,DETROIT PISTONS,CENTER,294,642,902,36.0945945945946,2005
wellsbo01,Bonzi Wells,28,69,19,1489,272,617,36,104,141,188,49,180,80,85,27,90,165,721,MEMPHIS GRIZZLIES,SHOOTING GUARD,236,513,229,21.579710144927535,2005
willija02,Jason Williams,29,71,68,1952,266,644,107,330,80,101,19,103,399,75,5,130,91,719,MEMPHIS GRIZZLIES,POINT GUARD,159,314,122,27.492957746478872,2005
giricgo01,Gordan Giriček,27,81,44,1660,283,632,38,105,111,137,25,157,137,46,11,90,155,715,UTAH JAZZ,SHOOTING GUARD,245,527,182,20.493827160493826,2005
smithjo03,Josh Smith,19,74,59,2050,274,602,4,23,163,237,147,310,127,59,144,135,157,715,ATLANTA HAWKS,SMALL FORWARD,270,579,457,27.7027027027027,2005
