player_id,player,age,g,gs,mp,fg,fga,x3p,x3pa,ft,fta,orb,drb,ast,stl,blk,tov,pf,pts,tm,pos,x2p,x2pa,trb,mpg,season
jordami01,Michael Jordan,26,82,82,3197,1034,1964,92,245,593,699,143,422,519,227,54,247,241,2753,CHICAGO BULLS,SHOOTING GUARD,942,1719,565,38.98780487804878,1990
malonka01,Karl Malone,26,82,82,3122,914,1627,16,43,696,913,232,679,226,121,50,304,259,2540,UTAH JAZZ,POWER FORWARD,898,1584,911,38.073170731707314,1990
ewingpa01,Patrick Ewing,27,82,82,3165,922,1673,1,4,502,648,235,658,182,78,327,278,325,2347,NEW YORK KNICKS,CENTER,921,1669,893,38.59756097560975,1990
chambto01,Tom Chambers,30,81,81,3046,810,1617,24,86,557,647,121,450,190,88,47,218,260,2201,PHOENIX SUNS,POWER FORWARD,786,1531,571,37.60493827160494,1990
wilkido01,Dominique Wilkins,30,80,79,2888,810,1672,59,183,459,569,217,304,200,126,47,174,141,2138,ATLANTA HAWKS,SMALL FORWARD,751,1489,521,36.1,1990
millere01,Reggie Miller,24,82,82,3192,661,1287,150,362,544,627,95,200,311,110,18,222,175,2016,INDIANA PACERS,SHOOTING GUARD,511,925,295,38.926829268292686,1990
olajuha01,Hakeem Olajuwon,27,82,82,3124,806,1609,1,6,382,536,299,850,234,174,376,316,314,1995,HOUSTON ROCKETS,CENTER,805,1603,1149,38.09756097560975,1990
robinda01,David Robinson,24,82,81,3002,690,1300,0,2,613,837,303,680,164,138,319,257,259,1993,SAN ANTONIO SPURS,CENTER,690,1298,983,36.609756097560975,1990
barklch01,Charles Barkley,26,79,79,3085,706,1177,20,92,557,744,361,548,307,148,50,243,250,1989,PHILADELPHIA 76ERS,SMALL FORWARD,686,1085,909,39.050632911392405,1990
mullich01,Chris Mullin,26,78,78,2830,682,1272,87,234,505,568,130,333,319,123,45,239,142,1956,GOLDEN STATE WARRIORS,SMALL FORWARD,595,1038,463,36.282051282051285,1990
campbto01,Tony Campbell,27,82,81,3164,723,1581,9,54,448,569,209,242,213,111,31,251,260,1903,MINNESOTA TIMBERWOLVES,SHOOTING GUARD,714,1527,451,38.58536585365854,1990
kingbe01,Bernard King,33,82,82,2687,711,1459,3,23,412,513,129,275,376,51,7,248,230,1837,WASHINGTON BULLETS,SMALL FORWARD,708,1436,404,32.76829268292683,1990
birdla01,Larry Bird,33,75,75,2944,718,1517,65,195,319,343,90,622,562,106,61,243,173,1820,BOSTON CELTICS,SMALL FORWARD,653,1322,712,39.25333333333333,1990
malonje01,Jeff Malone,28,75,74,2567,781,1592,1,6,257,293,54,152,243,48,6,125,116,1820,WASHINGTON BULLETS,SHOOTING GUARD,780,1586,206,34.22666666666667,1990
cummite01,Terry Cummings,28,81,78,2821,728,1532,19,59,343,440,226,451,219,110,52,202,286,1818,SAN ANTONIO SPURS,POWER FORWARD,709,1473,677,34.82716049382716,1990
johnsma02,Magic Johnson,30,79,79,2937,546,1138,106,276,567,637,128,394,907,132,34,289,167,1765,LOS ANGELES LAKERS,POINT GUARD,440,862,522,37.177215189873415,1990
tisdawa01,Wayman Tisdale,25,79,79,2937,726,1383,0,6,306,391,185,410,108,54,54,153,251,1758,SACRAMENTO KINGS,POWER FORWARD,726,1377,595,37.177215189873415,1990
richmmi01,Mitch Richmond,24,78,78,2799,640,1287,34,95,406,469,98,262,223,98,24,201,210,1720,GOLDEN STATE WARRIORS,SHOOTING GUARD,606,1192,360,35.88461538461539,1990
mchalke01,Kevin McHale,32,82,25,2722,648,1181,23,69,393,440,201,476,172,30,157,183,250,1712,BOSTON CELTICS,POWER FORWARD,625,1112,677,33.19512195121951,1990
drexlcl01,Clyde Drexler,27,73,73,2683,670,1357,30,106,333,430,208,299,432,145,51,191,222,1703,PORTLAND TRAIL BLAZERS,SHOOTING GUARD,640,1251,507,36.75342465753425,1990
worthja01,James Worthy,28,80,80,2960,711,1298,15,49,248,317,160,318,288,99,49,160,190,1685,LOS ANGELES LAKERS,SMALL FORWARD,696,1249,478,37.0,1990
johnske02,Kevin Johnson,23,74,74,2782,578,1159,8,41,501,598,42,228,846,95,14,263,143,1665,PHOENIX SUNS,POINT GUARD,570,1118,270,37.5945945945946,1990
smithch01,Charles Smith,24,78,76,2732,595,1145,1,12,454,572,177,347,114,86,119,162,294,1645,LOS ANGELES CLIPPERS,POWER FORWARD,594,1133,524,35.02564102564103,1990
blackro01,Rolando Blackman,30,80,80,2934,626,1256,13,43,287,340,88,192,289,77,21,174,128,1552,DALLAS MAVERICKS,SHOOTING GUARD,613,1213,280,36.675,1990
malonmo01,Moses Malone,34,81,81,2735,517,1077,1,9,493,631,364,448,130,47,84,232,158,1528,ATLANTA HAWKS,CENTER,516,1068,812,33.76543209876543,1990
hawkihe01,Hersey Hawkins,23,82,82,2856,522,1136,84,200,387,436,85,219,261,130,28,185,217,1515,PHILADELPHIA 76ERS,SHOOTING GUARD,438,936,304,34.829268292682926,1990
persoch01,Chuck Person,25,77,73,2714,605,1242,94,253,211,270,126,319,230,53,20,170,217,1515,INDIANA PACERS,SMALL FORWARD,511,989,445,35.246753246753244,1990
thomais01,Isiah Thomas,28,81,81,2993,579,1322,42,136,292,377,74,234,765,139,19,322,206,1492,DETROIT PISTONS,POINT GUARD,537,1186,308,36.95061728395062,1990
harpede01,Derek Harper,28,82,82,3007,567,1161,89,240,250,315,54,190,609,187,26,207,224,1473,DALLAS MAVERICKS,POINT GUARD,478,921,244,36.670731707317074,1990
mcdanxa01,Xavier McDaniel,26,69,67,2432,611,1233,5,17,244,333,165,282,171,73,36,187,231,1471,SEATTLE SUPERSONICS,SMALL FORWARD,606,1216,447,35.2463768115942,1990
leverfa01,Fat Lever,29,79,79,2832,568,1283,36,87,271,337,230,504,517,168,13,156,172,1443,DENVER NUGGETS,SHOOTING GUARD,532,1196,734,35.848101265822784,1990
theusre01,Reggie Theus,32,76,71,2350,517,1178,26,105,378,443,75,146,407,60,12,226,194,1438,ORLANDO MAGIC,SHOOTING GUARD,491,1073,221,30.92105263157895,1990
catlete01,Terry Catledge,26,74,72,2462,546,1152,2,8,341,486,271,292,72,36,17,181,201,1435,ORLANDO MAGIC,POWER FORWARD,544,1144,563,33.270270270270274,1990
englial01,Alex English,36,80,80,2211,635,1293,2,5,161,183,119,167,225,51,23,93,130,1433,DENVER NUGGETS,SMALL FORWARD,633,1288,286,27.6375,1990
pricema01,Mark Price,25,73,73,2706,489,1066,152,374,300,338,66,185,666,114,5,214,89,1430,CLEVELAND CAVALIERS,POINT GUARD,337,692,251,37.06849315068493,1990
portete01,Terry Porter,26,80,80,2781,448,969,89,238,421,472,59,213,726,151,4,245,150,1406,PORTLAND TRAIL BLAZERS,POINT GUARD,359,731,272,34.7625,1990
thorpot01,Otis Thorpe,27,82,82,2947,547,998,0,10,307,446,258,476,261,66,24,229,270,1401,HOUSTON ROCKETS,POWER FORWARD,547,988,734,35.9390243902439,1990
williho01,Hot Rod Williams,27,82,29,2776,528,1070,0,0,325,440,220,443,168,86,167,143,214,1381,CLEVELAND CAVALIERS,POWER FORWARD,528,1070,663,33.853658536585364,1990
piercri01,Ricky Pierce,30,59,0,1709,503,987,46,133,307,366,64,103,133,50,7,129,158,1359,MILWAUKEE BUCKS,SHOOTING GUARD,457,854,167,28.966101694915253,1990
mccraro01,Rodney McCray,28,82,82,3238,537,1043,11,42,273,348,192,477,377,60,70,174,176,1358,SACRAMENTO KINGS,SMALL FORWARD,526,1001,669,39.48780487804878,1990
pippesc01,Scottie Pippen,24,82,82,3148,562,1150,28,112,199,295,150,397,444,211,101,278,298,1351,CHICAGO BULLS,SMALL FORWARD,534,1038,547,38.390243902439025,1990
stockjo01,John Stockton,27,78,78,2915,472,918,47,113,354,432,57,149,1134,207,18,272,233,1345,UTAH JAZZ,POINT GUARD,425,805,206,37.37179487179487,1990
aingeda01,Danny Ainge,30,75,68,2727,506,1154,108,289,222,267,69,257,453,113,18,185,238,1342,SACRAMENTO KINGS,POINT GUARD,398,865,326,36.36,1990
lewisre01,Reggie Lewis,24,79,54,2522,540,1089,4,15,256,317,109,238,225,88,63,120,216,1340,BOSTON CELTICS,SHOOTING GUARD,536,1074,347,31.924050632911392,1990
dumarjo01,Joe Dumars,26,75,71,2578,508,1058,22,55,297,330,60,152,368,63,2,145,129,1335,DETROIT PISTONS,SHOOTING GUARD,486,1003,212,34.373333333333335,1990
duckwke01,Kevin Duckworth,25,82,82,2462,548,1146,0,0,231,312,184,325,91,36,34,171,271,1327,PORTLAND TRAIL BLAZERS,CENTER,548,1146,509,30.024390243902438,1990
teaglte01,Terry Teagle,29,82,49,2376,538,1122,3,14,244,294,114,253,155,91,15,144,231,1323,GOLDEN STATE WARRIORS,SMALL FORWARD,535,1108,367,28.975609756097562,1990
kerseje01,Jerome Kersey,27,82,82,2843,519,1085,3,20,269,390,251,439,188,121,63,144,304,1310,PORTLAND TRAIL BLAZERS,SMALL FORWARD,516,1065,690,34.670731707317074,1990
ellisda01,Dale Ellis,29,55,49,2033,502,1011,96,256,193,236,90,148,110,59,7,119,124,1293,SEATTLE SUPERSONICS,SHOOTING GUARD,406,755,238,36.96363636363636,1990
anderwi01,Willie Anderson,23,82,81,2788,532,1082,7,26,217,290,115,257,364,111,58,198,252,1288,SAN ANTONIO SPURS,SHOOTING GUARD,525,1056,372,34.0,1990
smitsri01,Rik Smits,23,82,82,2404,515,967,0,1,241,297,135,377,142,45,169,143,328,1271,INDIANA PACERS,CENTER,515,966,512,29.317073170731707,1990
schrede01,Detlef Schrempf,27,78,18,2573,424,822,17,48,402,490,149,471,247,59,16,180,271,1267,INDIANA PACERS,POWER FORWARD,407,774,620,32.98717948717949,1990
mckeyde01,Derrick McKey,23,80,80,2748,468,949,3,23,315,403,170,319,187,87,81,192,247,1254,SEATTLE SUPERSONICS,SMALL FORWARD,465,926,489,34.35,1990
hopsode01,Dennis Hopson,24,79,64,2551,474,1093,32,101,271,342,113,166,151,100,51,168,183,1251,NEW JERSEY NETS,SHOOTING GUARD,442,992,279,32.29113924050633,1990
parisro01,Robert Parish,36,79,78,2396,505,871,0,0,233,312,259,537,103,38,69,169,189,1243,BOSTON CELTICS,CENTER,505,871,796,30.329113924050635,1990
humphja01,Jay Humphries,27,81,81,2818,496,1005,21,70,224,285,80,189,472,156,11,151,253,1237,MILWAUKEE BUCKS,POINT GUARD,475,935,269,34.79012345679013,1990
tripuke01,Kelly Tripucka,30,79,73,2404,442,1029,38,104,310,351,82,240,224,75,16,176,220,1232,CHARLOTTE HORNETS,SMALL FORWARD,404,925,322,30.430379746835442,1990
seikaro01,Rony Seikaly,24,74,72,2409,486,968,0,1,256,431,253,513,78,78,124,236,258,1228,MIAMI HEAT,CENTER,486,967,766,32.554054054054056,1990
