player_id,player,age,g,gs,mp,fg,fga,x3p,x3pa,ft,fta,orb,drb,ast,stl,blk,tov,pf,pts,tm,pos,x2p,x2pa,trb,mpg,season
tatumja01,Jayson Tatum,24,74,74,2732,727,1559,240,686,531,622,78,571,342,78,51,213,160,2225,BOSTON CELTICS,SMALL FORWARD,487,873,649,36.91891891891892,2023
embiijo01,Joel Embiid,28,66,66,2284,728,1328,66,200,661,771,113,557,274,66,112,226,205,2183,PHILADELPHIA 76ERS,CENTER,662,1128,670,34.60606060606061,2023
doncilu01,Luka Dončić,23,66,66,2391,719,1449,185,541,515,694,54,515,529,90,33,236,166,2138,DALLAS MAVERICKS,POINT GUARD,534,908,569,36.22727272727273,2023
gilgesh01,Shai Gilgeous-Alexander,24,68,68,2416,704,1381,58,168,669,739,59,270,371,112,65,192,192,2135,OKLAHOMA CITY THUNDER,POINT GUARD,646,1213,329,35.529411764705884,2023
antetgi01,Giannis Antetokounmpo,28,63,63,2024,707,1278,47,171,498,772,137,605,359,52,51,246,197,1959,MILWAUKEE BUCKS,POWER FORWARD,660,1107,742,32.12698412698413,2023
edwaran01,Anthony Edwards,21,79,79,2842,707,1541,213,578,319,422,47,411,350,125,58,259,186,1946,MINNESOTA TIMBERWOLVES,SHOOTING GUARD,494,963,458,35.9746835443038,2023
randlju01,Julius Randle,28,77,77,2737,658,1432,218,636,402,531,141,626,316,49,21,216,233,1936,NEW YORK KNICKS,POWER FORWARD,440,796,767,35.54545454545455,2023
mitchdo01,Donovan Mitchell,26,68,68,2432,679,1402,245,635,319,368,63,226,301,99,27,180,168,1922,CLEVELAND CAVALIERS,SHOOTING GUARD,434,767,289,35.76470588235294,2023
youngtr01,Trae Young,24,73,73,2541,597,1390,154,460,566,639,56,161,741,80,9,300,104,1914,ATLANTA HAWKS,POINT GUARD,443,930,217,34.80821917808219,2023
lavinza01,Zach LaVine,27,77,77,2768,673,1388,204,544,363,428,42,303,327,69,18,194,159,1913,CHICAGO BULLS,SHOOTING GUARD,469,844,345,35.94805194805195,2023
lillada01,Damian Lillard,32,58,58,2107,556,1202,244,658,510,558,44,233,425,50,18,191,109,1866,PORTLAND TRAIL BLAZERS,POINT GUARD,312,544,277,36.327586206896555,2023
foxde01,De'Aaron Fox,25,73,73,2435,682,1331,119,367,343,440,40,266,447,83,23,181,172,1826,SACRAMENTO KINGS,POINT GUARD,563,964,306,33.35616438356164,2023
derozde01,DeMar DeRozan,33,74,74,2682,657,1303,46,142,456,523,34,309,377,83,36,153,186,1816,CHICAGO BULLS,SMALL FORWARD,611,1161,343,36.24324324324324,2023
brownja02,Jaylen Brown,26,67,67,2405,679,1383,163,487,263,344,78,381,232,75,26,197,172,1784,BOSTON CELTICS,SMALL FORWARD,516,896,459,35.8955223880597,2023
siakapa01,Pascal Siakam,28,71,71,2652,630,1313,93,287,367,474,131,425,415,65,36,169,228,1720,TORONTO RAPTORS,POWER FORWARD,537,1026,556,37.352112676056336,2023
markkla01,Lauri Markkanen,25,66,66,2273,571,1145,200,511,349,399,130,440,123,42,38,127,137,1691,UTAH JAZZ,POWER FORWARD,371,634,570,34.43939393939394,2023
jokicni01,Nikola Jokić,27,69,69,2323,646,1022,57,149,341,415,167,650,678,87,47,247,174,1690,DENVER NUGGETS,CENTER,589,873,817,33.666666666666664,2023
greenja05,Jalen Green,20,76,76,2602,566,1359,187,554,364,463,43,241,281,59,18,200,131,1683,HOUSTON ROCKETS,SHOOTING GUARD,379,805,284,34.23684210526316,2023
poolejo01,Jordan Poole,23,82,43,2458,550,1278,214,637,361,415,32,193,369,63,21,252,214,1675,GOLDEN STATE WARRIORS,POINT GUARD,336,641,225,29.975609756097562,2023
curryst01,Stephen Curry,34,56,56,1941,559,1133,273,639,257,281,39,302,352,52,20,179,117,1648,GOLDEN STATE WARRIORS,POINT GUARD,286,494,341,34.660714285714285,2023
brunsja01,Jalen Brunson,26,68,68,2379,587,1195,134,322,325,392,40,201,421,61,15,142,152,1633,NEW YORK KNICKS,POINT GUARD,453,873,241,34.98529411764706,2023
