player_id,player,age,g,gs,mp,fg,fga,x3p,x3pa,ft,fta,orb,drb,ast,stl,blk,tov,pf,pts,tm,pos,x2p,x2pa,trb,mpg,season
jordami01,Michael Jordan,33,82,82,3106,920,1892,111,297,480,576,113,369,352,140,44,166,156,2431,CHICAGO BULLS,SHOOTING GUARD,809,1595,482,37.8780487804878,1997
malonka01,Karl Malone,33,82,82,2998,864,1571,0,13,521,690,193,616,368,113,48,233,217,2249,UTAH JAZZ,POWER FORWARD,864,1558,809,36.5609756097561,1997
ricegl01,Glen Rice,29,79,78,3362,722,1513,207,440,464,535,67,251,160,72,26,177,190,2115,CHARLOTTE HORNETS,SMALL FORWARD,515,1073,318,42.55696202531646,1997
richmmi01,Mitch Richmond,31,81,81,3125,717,1578,204,477,457,531,59,260,338,118,24,237,211,2095,SACRAMENTO KINGS,SHOOTING GUARD,513,1101,319,38.58024691358025,1997
sprewla01,Latrell Sprewell,26,80,79,3353,649,1444,147,415,493,585,58,308,507,132,45,322,153,1938,GOLDEN STATE WARRIORS,SHOOTING GUARD,502,1029,366,41.9125,1997
olajuha01,Hakeem Olajuwon,34,78,78,2852,727,1426,5,16,351,446,173,543,236,117,173,281,249,1810,HOUSTON ROCKETS,CENTER,722,1410,716,36.56410256410256,1997
gillke01,Kendall Gill,28,82,81,3199,644,1453,74,220,427,536,183,316,326,154,46,218,225,1789,NEW JERSEY NETS,SMALL FORWARD,570,1233,499,39.01219512195122,1997
iversal01,Allen Iverson,21,76,74,3045,625,1504,155,455,382,544,115,197,567,157,24,337,233,1787,PHILADELPHIA 76ERS,POINT GUARD,470,1049,312,40.06578947368421,1997
paytoga01,Gary Payton,28,82,82,3213,706,1482,119,380,254,355,106,272,583,197,13,215,208,1785,SEATTLE SUPERSONICS,POINT GUARD,587,1102,378,39.18292682926829,1997
ewingpa01,Patrick Ewing,34,78,78,2887,655,1342,2,9,439,582,175,659,156,69,189,269,250,1751,NEW YORK KNICKS,CENTER,653,1333,834,37.01282051282051,1997
millere01,Reggie Miller,31,81,81,2966,552,1244,229,536,418,475,53,233,273,75,25,166,172,1751,INDIANA PACERS,SHOOTING GUARD,323,708,286,36.617283950617285,1997
hillgr01,Grant Hill,24,80,80,3147,625,1259,10,33,450,633,123,598,583,144,48,259,186,1710,DETROIT PISTONS,SMALL FORWARD,615,1226,721,39.3375,1997
robingl01,Glenn Robinson,24,80,79,3114,669,1438,63,180,288,364,130,372,248,103,68,269,225,1689,MILWAUKEE BUCKS,SMALL FORWARD,606,1258,502,38.925,1997
stackje01,Jerry Stackhouse,22,81,81,3166,533,1308,102,342,511,667,156,182,253,93,63,316,219,1679,PHILADELPHIA 76ERS,SHOOTING GUARD,431,966,338,39.08641975308642,1997
guglito01,Tom Gugliotta,27,81,81,3131,592,1339,24,93,464,566,187,515,335,130,89,293,237,1672,MINNESOTA TIMBERWOLVES,POWER FORWARD,568,1246,702,38.65432098765432,1997
