player_id,player,age,g,mp,per,ts_pct,x3pa_rate,fta_rate,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per48,obpm,dbpm,bpm,vorp,tm,season
jamesle01,LeBron James,33,82,3026,28.6,0.621,0.257,0.336,3.7,22.3,13.1,44.4,1.9,2.0,16.1,31.6,11.0,3.0,14.0,0.221,7.3,1.4,8.7,8.2,CLEVELAND CAVALIERS,2018
middlkh01,Khris Middleton,26,82,2982,17.4,0.577,0.32,0.285,1.8,15.0,8.4,17.7,2.0,0.6,11.8,24.6,4.6,2.3,6.9,0.111,0.8,-0.8,0.0,1.5,MILWAUKEE BUCKS,2018
wiggian01,Andrew Wiggins,22,82,2979,13.0,0.505,0.26,0.242,3.1,10.8,6.9,8.2,1.5,1.5,8.8,23.4,0.5,1.6,2.1,0.033,-0.8,-1.7,-2.4,-0.3,MINNESOTA TIMBERWOLVES,2018
bealbr01,Bradley Beal,24,82,2977,18.4,0.564,0.357,0.249,2.3,11.5,6.9,21.0,1.6,1.1,11.5,27.6,4.4,2.5,6.9,0.111,2.9,-0.7,2.2,3.1,WASHINGTON WIZARDS,2018
holidjr01,Jrue Holiday,27,81,2927,17.8,0.57,0.286,0.191,2.4,10.8,6.8,24.9,2.0,1.7,13.6,23.1,4.2,2.9,7.1,0.116,1.3,0.3,1.6,2.7,NEW ORLEANS PELICANS,2018
mccolcj01,CJ McCollum,26,81,2923,16.9,0.536,0.316,0.166,2.0,9.9,6.0,15.8,1.3,1.0,8.6,26.5,3.7,2.9,6.6,0.108,1.8,-0.5,1.2,2.4,PORTLAND TRAIL BLAZERS,2018
townska01,Karl-Anthony Towns,22,82,2918,24.9,0.646,0.243,0.343,9.3,30.9,20.0,10.8,1.1,3.5,10.5,22.9,10.6,3.4,14.0,0.23,4.9,0.2,5.1,5.2,MINNESOTA TIMBERWOLVES,2018
westbru01,Russell Westbrook,29,80,2914,24.7,0.524,0.193,0.336,5.6,25.7,15.3,49.8,2.5,0.6,16.4,34.1,5.5,4.5,10.1,0.166,4.8,1.5,6.3,6.1,OKLAHOMA CITY THUNDER,2018
georgpa01,Paul George,27,79,2891,18.7,0.57,0.454,0.307,2.7,14.9,8.6,14.5,2.8,1.2,12.2,25.7,5.0,3.9,8.9,0.147,2.3,0.6,2.9,3.6,OKLAHOMA CITY THUNDER,2018
antetgi01,Giannis Antetokounmpo,23,75,2756,27.3,0.598,0.1,0.457,6.7,25.3,16.0,23.7,2.0,3.3,11.7,31.2,8.3,3.6,11.9,0.207,5.3,0.9,6.2,5.7,MILWAUKEE BUCKS,2018
walkeke02,Kemba Walker,27,80,2736,20.6,0.572,0.441,0.308,1.2,8.7,4.9,27.4,1.6,0.7,10.4,27.4,6.5,2.0,8.6,0.15,4.7,-0.7,4.0,4.2,CHARLOTTE HORNETS,2018
simmobe01,Ben Simmons,21,81,2732,20.0,0.557,0.011,0.342,5.9,19.5,13.0,37.4,2.5,2.1,19.5,22.3,4.2,5.0,9.2,0.162,2.0,2.5,4.5,4.5,PHILADELPHIA 76ERS,2018
davisan02,Anthony Davis,24,75,2727,28.9,0.612,0.111,0.409,7.7,24.8,16.5,10.8,2.0,5.6,8.6,30.0,8.8,4.9,13.7,0.241,5.3,1.4,6.7,5.9,NEW ORLEANS PELICANS,2018
gibsota01,Taj Gibson,32,82,2726,15.4,0.61,0.047,0.251,8.1,16.7,12.4,5.2,1.1,1.9,9.8,14.7,5.4,1.7,7.2,0.126,0.1,-0.7,-0.5,1.0,MINNESOTA TIMBERWOLVES,2018
derozde01,DeMar DeRozan,28,80,2711,21.0,0.555,0.203,0.396,2.5,10.4,6.5,25.0,1.5,0.6,9.5,29.6,6.8,2.8,9.6,0.17,3.3,-0.6,2.8,3.2,TORONTO RAPTORS,2018
richajo01,Josh Richardson,24,81,2689,13.6,0.551,0.38,0.16,2.9,9.0,6.0,13.2,2.3,2.4,12.9,18.2,1.8,3.5,5.4,0.096,-0.6,1.3,0.7,1.8,MIAMI HEAT,2018
bartowi01,Will Barton,27,81,2683,16.2,0.562,0.411,0.22,3.0,14.2,8.6,18.5,1.5,1.6,11.7,20.7,4.4,1.8,6.2,0.111,1.6,-0.4,1.1,2.1,DENVER NUGGETS,2018
lillada01,Damian Lillard,27,73,2670,25.2,0.594,0.445,0.38,2.6,10.6,6.6,30.9,1.4,0.8,11.1,30.6,9.9,2.7,12.6,0.227,7.0,0.3,7.2,6.3,PORTLAND TRAIL BLAZERS,2018
harrito02,Tobias Harris,25,80,2668,17.1,0.565,0.364,0.177,2.4,15.7,9.0,11.8,1.3,1.1,7.4,23.3,4.2,2.5,6.7,0.12,2.3,-0.4,1.9,2.6,TOT,2018
mitchdo01,Donovan Mitchell,21,79,2638,16.7,0.541,0.404,0.218,2.3,10.4,6.4,19.4,2.2,0.9,12.6,29.1,1.4,3.8,5.2,0.095,0.9,0.3,1.2,2.2,UTAH JAZZ,2018
barneha02,Harrison Barnes,25,77,2634,15.8,0.539,0.276,0.259,3.1,17.1,9.9,9.9,0.9,0.5,8.1,25.2,2.0,1.9,3.8,0.07,0.8,-1.3,-0.5,1.0,DALLAS MAVERICKS,2018
drumman01,Andre Drummond,24,78,2625,22.9,0.555,0.012,0.448,16.4,36.4,26.2,14.3,2.2,4.3,15.9,21.2,4.6,5.7,10.3,0.188,1.5,1.7,3.2,3.4,DETROIT PISTONS,2018
