player_id,player,age,g,gs,mp,fg,fga,x3p,x3pa,ft,fta,orb,drb,ast,stl,blk,tov,pf,pts,tm,pos,x2p,x2pa,trb,mpg,season
hardeja01,James Harden,30,68,68,2483,672,1514,299,843,692,800,70,376,512,125,60,308,227,2335,HOUSTON ROCKETS,SHOOTING GUARD,373,671,446,36.51470588235294,2020
lillada01,Damian Lillard,29,66,66,2474,624,1349,270,674,460,518,33,251,530,70,22,194,114,1978,PORTLAND TRAIL BLAZERS,POINT GUARD,354,675,284,37.484848484848484,2020
bookede01,Devin Booker,23,70,70,2512,627,1283,141,398,468,509,29,268,456,49,18,264,213,1863,PHOENIX SUNS,SHOOTING GUARD,486,885,297,35.885714285714286,2020
antetgi01,Giannis Antetokounmpo,25,63,63,1917,685,1238,89,293,398,629,140,716,354,61,66,230,195,1857,MILWAUKEE BUCKS,POWER FORWARD,596,945,856,30.428571428571427,2020
youngtr01,Trae Young,21,60,60,2120,546,1249,205,568,481,559,32,223,560,65,8,289,104,1778,ATLANTA HAWKS,POINT GUARD,341,681,255,35.333333333333336,2020
doncilu01,Luka Dončić,20,61,61,2047,581,1255,171,541,426,562,78,495,538,62,14,260,153,1759,DALLAS MAVERICKS,POINT GUARD,410,714,573,33.557377049180324,2020
bealbr01,Bradley Beal,26,57,57,2053,593,1303,170,481,385,457,52,190,347,71,23,194,126,1741,WASHINGTON WIZARDS,SHOOTING GUARD,423,822,242,36.01754385964912,2020
jamesle01,LeBron James,35,67,67,2316,643,1303,148,425,264,381,66,459,684,78,36,261,118,1698,LOS ANGELES LAKERS,POINT GUARD,495,878,525,34.56716417910448,2020
mitchdo01,Donovan Mitchell,23,69,69,2364,602,1342,173,473,278,322,53,251,294,70,14,184,172,1655,UTAH JAZZ,SHOOTING GUARD,429,869,304,34.26086956521739,2020
davisan02,Anthony Davis,26,62,62,2131,551,1096,72,218,444,525,142,435,200,91,143,154,156,1618,LOS ANGELES LAKERS,POWER FORWARD,479,878,577,34.37096774193548,2020
mccolcj01,CJ McCollum,28,70,70,2556,611,1356,194,512,140,185,46,251,310,54,42,127,183,1556,PORTLAND TRAIL BLAZERS,SHOOTING GUARD,417,844,297,36.51428571428571,2020
westbru01,Russell Westbrook,31,57,57,2049,604,1281,55,213,290,380,100,351,401,93,20,255,200,1553,HOUSTON ROCKETS,POINT GUARD,549,1068,451,35.94736842105263,2020
tatumja01,Jayson Tatum,21,66,66,2265,552,1226,189,469,254,313,64,396,200,93,57,155,136,1547,BOSTON CELTICS,POWER FORWARD,363,757,460,34.31818181818182,2020
leonaka01,Kawhi Leonard,28,57,57,1848,532,1133,123,325,356,402,54,348,280,103,33,149,113,1543,LOS ANGELES CLIPPERS,SMALL FORWARD,409,808,402,32.421052631578945,2020
lavinza01,Zach LaVine,24,60,60,2085,539,1199,184,484,268,334,41,248,254,88,28,206,131,1530,CHICAGO BULLS,SMALL FORWARD,355,715,289,34.75,2020
derozde01,DeMar DeRozan,30,68,68,2316,557,1049,9,35,381,451,44,331,380,70,20,164,180,1504,SAN ANTONIO SPURS,SMALL FORWARD,548,1014,375,34.05882352941177,2020
ingrabr01,Brandon Ingram,22,62,62,2104,507,1096,150,384,313,368,51,329,259,61,38,189,179,1477,NEW ORLEANS PELICANS,POWER FORWARD,357,712,380,33.935483870967744,2020
jokicni01,Nikola Jokić,24,73,73,2336,565,1071,80,255,246,301,166,545,512,85,44,226,222,1456,DENVER NUGGETS,CENTER,485,816,711,32.0,2020
harrito02,Tobias Harris,27,72,72,2469,553,1173,131,357,174,216,69,426,227,53,40,104,165,1411,PHILADELPHIA 76ERS,POWER FORWARD,422,816,495,34.291666666666664,2020
hieldbu01,Buddy Hield,27,72,44,2216,498,1162,271,688,115,136,57,271,213,66,17,168,165,1382,SACRAMENTO KINGS,SHOOTING GUARD,227,474,328,30.77777777777778,2020
siakapa01,Pascal Siakam,25,60,60,2110,500,1104,131,365,240,303,64,375,207,61,53,148,170,1371,TORONTO RAPTORS,POWER FORWARD,369,739,439,35.166666666666664,2020
sextoco01,Collin Sexton,21,65,65,2143,513,1086,97,255,226,267,61,143,192,65,7,158,142,1349,CLEVELAND CAVALIERS,POINT GUARD,416,831,204,32.96923076923077,2020
gilgesh01,Shai Gilgeous-Alexander,21,70,70,2428,478,1015,87,251,288,357,47,365,232,79,47,134,117,1331,OKLAHOMA CITY THUNDER,SHOOTING GUARD,391,764,412,34.68571428571428,2020
warretj01,T.J. Warren,26,67,67,2202,534,997,91,226,167,204,68,212,99,78,34,84,187,1326,INDIANA PACERS,SMALL FORWARD,443,771,280,32.865671641791046,2020
dinwisp01,Spencer Dinwiddie,26,64,49,1994,424,1021,123,400,347,446,32,189,432,40,21,174,180,1318,BROOKLYN NETS,POINT GUARD,301,621,221,31.15625,2020
