player_id,player,age,g,gs,mp,fg,fga,x3p,x3pa,ft,fta,orb,drb,ast,stl,blk,tov,pf,pts,tm,pos,x2p,x2pa,trb,mpg,season
onealsh01,Shaquille O'Neal,27,79,79,3163,956,1665,0,1,432,824,336,742,299,36,239,223,255,2344,LOS ANGELES LAKERS,CENTER,956,1664,1078,40.037974683544306,2000
cartevi01,Vince Carter,23,82,82,3126,788,1696,95,236,436,551,150,326,322,110,92,178,263,2107,TORONTO RAPTORS,SMALL FORWARD,693,1460,476,38.1219512195122,2000
malonka01,Karl Malone,36,82,82,2947,752,1476,2,8,589,739,169,610,304,79,71,231,229,2095,UTAH JAZZ,POWER FORWARD,750,1468,779,35.9390243902439,2000
iversal01,Allen Iverson,24,70,70,2853,729,1733,89,261,442,620,71,196,328,144,5,230,162,1989,PHILADELPHIA 76ERS,SHOOTING GUARD,640,1472,267,40.75714285714286,2000
paytoga01,Gary Payton,31,82,82,3425,747,1666,177,520,311,423,100,429,732,153,18,224,178,1982,SEATTLE SUPERSONICS,POINT GUARD,570,1146,529,41.76829268292683,2000
stackje01,Jerry Stackhouse,25,82,82,3148,619,1447,83,288,618,758,118,197,365,103,36,311,188,1939,DETROIT PISTONS,SHOOTING GUARD,536,1159,315,38.390243902439025,2000
hillgr01,Grant Hill,27,74,74,2776,696,1422,34,98,480,604,97,393,385,103,43,240,190,1906,DETROIT PISTONS,SMALL FORWARD,662,1324,490,37.513513513513516,2000
garneke01,Kevin Garnett,23,81,81,3243,759,1526,30,81,309,404,223,733,401,120,126,268,205,1857,MINNESOTA TIMBERWOLVES,POWER FORWARD,729,1445,956,40.03703703703704,2000
finlemi01,Michael Finley,26,82,82,3464,748,1636,99,247,260,317,122,396,438,109,32,196,171,1855,DALLAS MAVERICKS,SMALL FORWARD,649,1389,518,42.24390243902439,2000
webbech01,Chris Webber,26,75,75,2880,748,1548,27,95,311,414,189,598,345,120,128,218,264,1834,SACRAMENTO KINGS,POWER FORWARD,721,1453,787,38.4,2000
allenra02,Ray Allen,24,82,82,3070,642,1411,172,407,353,398,83,276,308,110,19,183,187,1809,MILWAUKEE BUCKS,SHOOTING GUARD,470,1004,359,37.4390243902439,2000
mournal01,Alonzo Mourning,29,79,78,2748,652,1184,0,4,414,582,215,538,123,40,294,217,308,1718,MIAMI HEAT,CENTER,652,1180,753,34.78481012658228,2000
duncati01,Tim Duncan,23,74,74,2875,628,1281,1,11,459,603,262,656,234,66,165,242,210,1716,SAN ANTONIO SPURS,POWER FORWARD,627,1270,918,38.851351351351354,2000
robingl01,Glenn Robinson,27,81,81,2909,690,1461,86,237,227,283,107,378,193,78,41,223,212,1693,MILWAUKEE BUCKS,SMALL FORWARD,604,1224,485,35.91358024691358,2000
walkean02,Antoine Walker,23,82,82,3003,648,1506,73,285,311,445,199,453,305,117,32,259,263,1680,BOSTON CELTICS,POWER FORWARD,575,1221,652,36.6219512195122,2000
abdursh01,Shareef Abdur-Rahim,23,82,82,3223,594,1277,29,96,446,551,218,607,271,89,87,249,244,1663,VANCOUVER GRIZZLIES,SMALL FORWARD,565,1181,825,39.30487804878049,2000
marbust01,Stephon Marbury,22,74,74,2881,569,1317,66,233,436,536,61,179,622,112,15,270,195,1640,NEW JERSEY NETS,POINT GUARD,503,1084,240,38.932432432432435,2000
brandel01,Elton Brand,20,81,80,2999,630,1306,0,2,367,536,348,462,155,66,132,228,259,1627,CHICAGO BULLS,POWER FORWARD,630,1304,810,37.02469135802469,2000
houstal01,Allan Houston,28,82,82,3169,614,1271,106,243,280,334,38,233,224,65,14,186,219,1614,NEW YORK KNICKS,SHOOTING GUARD,508,1028,271,38.646341463414636,2000
mcdyean01,Antonio McDyess,25,81,81,2698,614,1211,0,2,323,516,234,451,159,69,139,230,316,1551,DENVER NUGGETS,POWER FORWARD,614,1209,685,33.30864197530864,2000
vanhoke01,Keith Van Horn,24,80,80,2782,559,1257,84,228,333,393,200,476,158,64,60,245,258,1535,NEW JERSEY NETS,POWER FORWARD,475,1029,676,34.775,2000
sprewla01,Latrell Sprewell,29,82,82,3276,568,1305,44,127,344,397,49,300,332,109,22,226,184,1524,NEW YORK KNICKS,SMALL FORWARD,524,1178,349,39.951219512195124,2000
cassesa01,Sam Cassell,30,81,81,2899,545,1170,26,90,390,445,69,232,729,102,8,267,255,1506,MILWAUKEE BUCKS,POINT GUARD,519,1080,301,35.79012345679013,2000
dickemi01,Michael Dickerson,24,82,82,3103,554,1270,119,291,269,324,78,201,208,116,45,165,226,1496,VANCOUVER GRIZZLIES,SHOOTING GUARD,435,979,279,37.84146341463415,2000
bryanko01,Kobe Bryant,21,66,62,2524,554,1183,46,144,331,403,108,308,323,106,62,182,220,1485,LOS ANGELES LAKERS,SHOOTING GUARD,508,1039,416,38.24242424242424,2000
