player_id,player,age,g,gs,mp,fg,fga,x3p,x3pa,ft,fta,orb,drb,ast,stl,blk,tov,pf,pts,tm,pos,x2p,x2pa,trb,mpg,season
duranke01,Kevin Durant,23,66,66,2546,643,1297,133,344,431,501,40,487,231,88,77,248,133,1850,OKLAHOMA CITY THUNDER,SMALL FORWARD,510,953,527,38.57575757575758,2012
jamesle01,LeBron James,27,62,62,2326,621,1169,54,149,387,502,94,398,387,115,50,213,96,1683,MIAMI HEAT,SMALL FORWARD,567,1020,492,37.516129032258064,2012
bryanko01,Kobe Bryant,33,58,58,2232,574,1336,87,287,381,451,66,247,264,69,18,204,105,1616,LOS ANGELES LAKERS,SHOOTING GUARD,487,1049,313,38.48275862068966,2012
westbru01,Russell Westbrook,23,66,66,2331,578,1266,62,196,340,413,96,205,362,112,21,239,147,1558,OKLAHOMA CITY THUNDER,POINT GUARD,516,1070,301,35.31818181818182,2012
loveke01,Kevin Love,23,55,55,2145,474,1059,105,282,379,460,226,508,111,47,28,128,152,1432,MINNESOTA TIMBERWOLVES,POWER FORWARD,369,777,734,39.0,2012
griffbl01,Blake Griffin,22,66,66,2392,561,1022,2,16,244,468,218,499,210,54,48,150,216,1368,LOS ANGELES CLIPPERS,POWER FORWARD,559,1006,717,36.24242424242424,2012
nowitdi01,Dirk Nowitzki,33,62,62,2079,473,1034,78,212,318,355,46,372,136,42,30,117,129,1342,DALLAS MAVERICKS,POWER FORWARD,395,822,418,33.53225806451613,2012
jennibr01,Brandon Jennings,22,66,66,2331,469,1121,129,388,193,239,49,177,365,104,22,146,114,1260,MILWAUKEE BUCKS,POINT GUARD,340,733,226,35.31818181818182,2012
anthoca01,Carmelo Anthony,27,55,55,1876,441,1025,68,203,295,367,88,256,200,62,24,144,156,1245,NEW YORK KNICKS,SMALL FORWARD,373,822,344,34.10909090909091,2012
smithjo03,Josh Smith,26,66,66,2329,504,1101,28,109,203,322,136,496,257,93,115,164,172,1239,ATLANTA HAWKS,POWER FORWARD,476,992,632,35.28787878787879,2012
