player_id,player,age,g,gs,mp,fg,fga,x3p,x3pa,ft,fta,orb,drb,ast,stl,blk,tov,pf,pts,tm,pos,x2p,x2pa,trb,mpg,season
jamesle01,LeBron James,33,82,82,3026,857,1580,149,406,388,531,97,612,747,116,71,347,136,2251,CLEVELAND CAVALIERS,POWER FORWARD,708,1174,709,36.90243902439025,2018
hardeja01,James Harden,28,72,72,2551,651,1449,265,722,624,727,41,348,630,126,50,315,169,2191,HOUSTON ROCKETS,SHOOTING GUARD,386,727,389,35.43055555555556,2018
davisan02,Anthony Davis,24,75,75,2727,780,1462,55,162,495,598,187,645,174,115,193,162,159,2110,NEW ORLEANS PELICANS,POWER FORWARD,725,1300,832,36.36,2018
westbru01,Russell Westbrook,29,80,80,2914,757,1687,97,326,417,566,152,652,820,147,20,381,200,2028,OKLAHOMA CITY THUNDER,POINT GUARD,660,1361,804,36.425,2018
antetgi01,Giannis Antetokounmpo,23,75,75,2756,742,1402,43,140,487,641,156,597,361,109,106,223,231,2014,MILWAUKEE BUCKS,POWER FORWARD,699,1262,753,36.74666666666667,2018
lillada01,Damian Lillard,27,73,73,2670,621,1415,227,629,493,538,62,263,481,77,27,206,117,1962,PORTLAND TRAIL BLAZERS,POINT GUARD,394,786,325,36.57534246575342,2018
bealbr01,Bradley Beal,24,82,82,2977,683,1484,199,530,292,369,61,302,373,96,36,214,160,1857,WASHINGTON WIZARDS,SHOOTING GUARD,484,954,363,36.30487804878049,2018
derozde01,DeMar DeRozan,28,80,80,2711,645,1413,89,287,461,559,59,256,417,85,22,175,151,1840,TORONTO RAPTORS,SHOOTING GUARD,556,1126,315,33.8875,2018
duranke01,Kevin Durant,29,68,68,2325,630,1222,173,413,359,404,31,433,366,50,119,207,133,1792,GOLDEN STATE WARRIORS,SMALL FORWARD,457,809,464,34.19117647058823,2018
willilo02,Lou Williams,31,79,19,2589,582,1337,186,518,432,491,40,158,417,85,19,234,106,1782,LOS ANGELES CLIPPERS,SHOOTING GUARD,396,819,198,32.77215189873418,2018
walkeke02,Kemba Walker,27,80,80,2736,588,1363,231,601,363,420,32,216,444,91,24,179,98,1770,CHARLOTTE HORNETS,POINT GUARD,357,762,248,34.2,2018
townska01,Karl-Anthony Towns,22,82,82,2918,639,1172,120,285,345,402,238,774,199,64,115,159,285,1743,MINNESOTA TIMBERWOLVES,CENTER,519,887,1012,35.58536585365854,2018
aldrila01,LaMarcus Aldridge,32,75,75,2509,687,1347,27,92,334,399,246,389,152,43,90,111,161,1735,SAN ANTONIO SPURS,CENTER,660,1255,635,33.45333333333333,2018
oladivi01,Victor Oladipo,25,75,75,2552,640,1342,161,434,294,368,47,343,323,177,57,219,175,1735,INDIANA PACERS,SHOOTING GUARD,479,908,390,34.026666666666664,2018
georgpa01,Paul George,27,79,79,2891,576,1340,244,609,338,411,72,375,263,161,39,212,233,1734,OKLAHOMA CITY THUNDER,SMALL FORWARD,332,731,447,36.59493670886076,2018
mccolcj01,CJ McCollum,26,81,81,2923,667,1505,189,476,209,250,53,268,272,77,35,151,168,1732,PORTLAND TRAIL BLAZERS,SHOOTING GUARD,478,1029,321,36.08641975308642,2018
