player_id,player,age,n_comps_total,sps_fpts_y1,carmelo_fpts_y1,delta_applied_y1,n_comps_y1,sum_sim_y1,sps_fpts_y2,carmelo_fpts_y2,delta_applied_y2,n_comps_y2,sum_sim_y2,sps_fpts_y3,carmelo_fpts_y3,delta_applied_y3,n_comps_y3,sum_sim_y3,sps_fpts_y4,carmelo_fpts_y4,delta_applied_y4,n_comps_y4,sum_sim_y4,sps_fpts_y5,carmelo_fpts_y5,delta_applied_y5,n_comps_y5,sum_sim_y5
jokicni01,Nikola Jokić,30.0,13,50.73349188733641,50.55387941644433,-0.17961247089208215,12,29401.799912995164,47.044672880238025,47.98204235072171,0.9373694704836909,11,26795.238259605634,43.07575726367213,46.1539287686333,3.0781715049611678,8,18206.82187830832,38.937773802355835,45.450248529539046,6.512474727183209,7,15786.128710960846,34.74154457325865,40.628201761146656,5.886657187888003,8,18011.737435603318
doncilu01,Luka Dončić,26.0,180,46.4104519751273,46.147922321625146,-0.2625296535021567,166,447131.47332342924,45.47764705785009,45.8239666495103,0.34631959166020354,159,427747.9662844652,44.046408589633806,43.88173237285291,-0.16467621678090075,144,385519.86686700024,42.15597738456492,41.90825537690177,-0.24772200766315064,128,339679.84808561485,39.86196444905178,38.830925833929,-1.0310386151227795,113,302018.0981780001
wembavi01,Victor Wembanyama,22.0,25,43.73641019609724,45.453964397145796,1.7175542010485547,24,60187.296848794496,43.305761025205456,45.48715418362439,2.1813931584189343,25,62730.61311870159,42.70389399788647,44.82975070447519,2.1258567065887184,20,50893.957449766334,41.945258101562615,45.34242710686121,3.3971690052985966,19,48549.58572307774,41.0449596417196,44.5573438074252,3.5123841657056,21,53230.977086574465
gilgesh01,Shai Gilgeous-Alexander,27.0,96,41.131035668714375,41.124028906037985,-0.007006762676391083,89,243652.40462213865,39.84578617754803,39.91758655992679,0.07180038237876367,88,238010.3422470317,38.15082999240908,38.0623114965097,-0.08851849589937719,82,221746.96615333878,36.09518687766317,36.20937462888283,0.11418775121965717,74,199968.08113186905,33.73994492043706,34.817224872237915,1.077279951800857,68,189169.62470422752
antetgi01,Giannis Antetokounmpo,31.0,24,40.656559585880736,40.55662466859921,-0.09993491728152241,22,48711.09566897479,37.19586633279448,39.566922241046385,2.371055908251907,21,46408.2357668888,33.60143907158687,36.475784316922685,2.874345245335815,21,46744.287129964956,29.968168940177,34.62655749170665,4.658388551529644,21,46433.73645363706,26.385644359710394,33.066440848255496,6.680796488545102,21,46586.58862196236
cunnica01,Cade Cunningham,24.0,170,39.689531660756856,40.20182369095465,0.5122920301977886,160,432667.48784544866,39.39000269410741,39.4952865497492,0.10528385564179353,155,417908.5521944695,38.91978489110596,38.654370706194356,-0.2654141849116062,142,381730.62627376715,38.29268928166416,38.06634826279579,-0.22634101886836508,130,344568.4774888598,37.23582913939735,35.96956484105038,-1.2662642983469736,121,319845.15533238027
johnsja05,Jalen Johnson,24.0,1778,39.612022565302254,39.62864619930089,0.01662363399863275,1540,3934455.573774608,39.36589523399287,38.872331791127976,-0.49356344286489556,1425,3644165.1451511434,38.9515199885056,37.97244777093381,-0.9790722175717869,1316,3365988.703573412,38.38119831256159,36.76983519036534,-1.6113631221962463,1219,3117344.9546198314,37.37749128166816,35.316902265936484,-2.0605890157316784,1081,2751837.383290106
sengual01,Alperen Şengün,23.0,650,36.85035569636112,37.55407453800294,0.70371884164182,610,1590545.8108507495,36.745453728419676,36.99446682456891,0.24901309614923375,595,1548516.11769614,36.47742913009722,36.17351732151352,-0.30391180858369576,557,1448124.1964117717,36.05748570777167,35.1565679788442,-0.9009177289274697,534,1391617.3230999978,35.49763019566766,34.194417516912885,-1.3032126787547782,494,1284101.4914498117
maxeyty01,Tyrese Maxey,25.0,927,37.6777125800312,37.550832477333536,-0.1268801026976612,829,2341618.5943019344,37.489804670544174,36.464054122720064,-1.025750547824113,791,2222942.702301475,37.14371841004418,35.363840445979875,-1.7798779640643059,740,2078024.0670964953,36.36516856170382,33.81215012671052,-2.5530184349932967,689,1935576.490983237,35.177601360072266,31.988515616483962,-3.189085743588303,639,1789476.0643385747
tatumja01,Jayson Tatum,27.0,565,37.03719547869795,36.38879709611411,-0.6483983825838424,508,1417453.314214984,36.06023728856669,34.734667153869594,-1.325570134697092,502,1403701.363869615,34.695267556833954,32.4516423438319,-2.2436252130020575,470,1311614.150390495,32.98387133417389,30.227052506410644,-2.756818827763248,442,1226564.6311379047,30.979252917304752,28.34122536913768,-2.6380275481670727,406,1131647.7371234363
