player_id,player,snapshot_year,snapshot_age,age_bucket,horizon,actual_fpts,SPS_pred,SPS_error,carmelo-linear_pred,carmelo-linear_error,carmelo-squared_pred,carmelo-squared_error,538-linear_pred,538-linear_error,538-squared_pred,538-squared_error
gervige01,George Gervin,1985,32.0,32-35,1,17.823170731707318,24.65178458409636,6.828613852389044,20.788851113648004,2.965680381940686,20.927906329735546,3.1047355980282276,19.32191413539107,1.4987434036837506,18.37463109590763,0.5514603642003131
malonmo01,Moses Malone,1985,29.0,28-31,1,34.58445945945946,37.22109910758555,2.636639648126092,38.6387523770888,4.05429291762934,38.59880394199798,4.014344482538519,35.70357811502437,1.119118655564911,36.72137610642913,2.1369166469696736
malonmo01,Moses Malone,1985,29.0,28-31,2,36.02739726027397,35.39645892357127,-0.6309383367027053,32.46398174633515,-3.5634155139388213,32.76354797774869,-3.2638492825252783,31.552829534299295,-4.474567725974676,30.780242947977207,-5.2471543122967645
malonmo01,Moses Malone,1985,29.0,28-31,3,31.53481012658228,33.24938019078138,1.7145700641991013,32.94895602816094,1.4141459015786637,33.033102595075746,1.4982924684934673,27.72097195434144,-3.813838172240839,28.01722839740302,-3.517581729179259
malonmo01,Moses Malone,1985,29.0,28-31,4,33.379629629629626,30.847193983100205,-2.5324356465294215,23.11713340696709,-10.262496222662538,23.30915054052342,-10.070479089106207,22.063322996909456,-11.31630663272017,21.052254971190866,-12.32737465843876
malonmo01,Moses Malone,1985,29.0,28-31,5,29.45679012345679,28.2633824199908,-1.19340770346599,22.25755333346885,-7.199236789987943,22.25755333346885,-7.199236789987943,17.979998312935788,-11.476791810521004,17.979998312935788,-11.476791810521004
ervinju01,Julius Erving,1985,34.0,32-35,1,27.236486486486488,29.008245611311466,1.7717591248249782,29.008245611311466,1.7717591248249782,29.008245611311466,1.7717591248249782,26.86865458721602,-0.3678318992704668,27.066535086316154,-0.1699514001703335
ervinju01,Julius Erving,1985,34.0,32-35,2,25.870833333333334,25.909017786370384,0.03818445303705076,25.909017786370384,0.03818445303705076,25.909017786370384,0.03818445303705076,23.50272706952653,-2.368106263806805,23.660937008139545,-2.209896325193789
freewo01,World B. Free,1985,31.0,28-31,1,28.093333333333334,25.663834623736093,-2.4294987095972402,25.663834623736093,-2.4294987095972402,25.663834623736093,-2.4294987095972402,20.22285475305694,-7.870478580276394,19.696412707045276,-8.396920626288058
freewo01,World B. Free,1985,31.0,28-31,2,7.7875,23.978805903629972,16.191305903629974,23.978805903629972,16.191305903629974,23.978805903629972,16.191305903629974,18.40313073302184,10.61563073302184,19.196312950572274,11.408812950572274
