method,snapshot_year,horizon,age_bucket,n,rmse,mae,bias,std
538-squared,1985,2,24-27,87,6.099589848861128,4.905890626119299,0.21901290593415132,6.095656623479048
SPS,1985,2,28-31,42,6.679354342411912,5.286795407028849,2.629035685660581,6.140191022681629
carmelo-linear,1985,2,28-31,42,6.63209063504369,5.414230080458984,-0.19465612179721475,6.629233378429295
carmelo-squared,1985,2,28-31,42,6.613822524571535,5.374263600191566,-0.14939461887843797,6.61213502844429
538-linear,1985,2,28-31,42,6.773816124727764,5.465445882786239,-1.7906085547408095,6.532863529518345
538-squared,1985,2,28-31,42,7.075669959599583,5.652990444427802,-1.9176551294263051,6.810851942434584
SPS,1985,2,<=23,46,6.286096703153461,5.1898318164759285,-2.006267080261568,5.957340359930391
carmelo-linear,1985,2,<=23,46,6.324113682230489,5.1347149983133225,-2.4697550981862495,5.821917520951143
carmelo-squared,1985,2,<=23,46,6.308694033329919,5.112036831316604,-2.451908053106364,5.812724602566742
538-linear,1985,2,<=23,46,6.237902711738013,5.149450170465058,-2.230552380718588,5.825467047197082
538-squared,1985,2,<=23,46,6.3063841207322415,5.276821364740908,-2.034783934271327,5.969098342216777
SPS,1985,3,24-27,68,7.275670236071273,5.835857631770288,1.7426439608034219,7.063891944949949
carmelo-linear,1985,3,24-27,68,7.043702412041676,5.6329738860664165,-0.7449705580501381,7.004196066433334
carmelo-squared,1985,3,24-27,68,7.06602756440168,5.643401280213388,-0.7387711612547372,7.027301239607042
538-linear,1985,3,24-27,68,7.355165368943333,5.788544911821853,0.866216946412975,7.3039801345739095
538-squared,1985,3,24-27,68,7.585104003130241,5.953095985353976,0.9215981957212648,7.528908254451353
SPS,1985,3,28-31,36,6.425395393714456,5.232268334650462,3.9375081486752554,5.077571815807524
carmelo-linear,1985,3,28-31,36,5.72159726872503,4.3034562554044635,1.7526940763766885,5.44653456613614
carmelo-squared,1985,3,28-31,36,5.728406479878836,4.307929310759578,1.7907229597827963,5.441318965106216
