player_id,player,age,pos,draft_pick,ts_pct,ft_pct,usg_pct,x3_freq,ft_freq,ast_pct,tov_pct,trb_pct,blk_pct,stl_pct,draft_pct,ts_pct_rank,ft_pct_rank,usg_pct_rank,x3_freq_rank,ft_freq_rank,ast_pct_rank,tov_pct_rank,trb_pct_rank,blk_pct_rank,stl_pct_rank,actual_2018,actual_2019,actual_2020,actual_2021,actual_2022,actual_2023,actual_2024,actual_2025,ci_hi_y1,ci_hi_y2,ci_hi_y3,ci_hi_y4,ci_hi_y5,ci_lo_y1,ci_lo_y2,ci_lo_y3,ci_lo_y4,ci_lo_y5,proj_y1,proj_y2,proj_y3,proj_y4,proj_y5,g,gs,mp,fg,fga,x3p,x3pa,ft,fta,orb,drb,ast,stl,blk,tov,pf,pts,tm,x2p,x2pa,trb,mpg,season
dennira01,RayJ Dennis,23,POINT GUARD,,,,,0.6363636363636364,0.06060606060606061,,,,,,,50,50,50,83.0,5.0,50,50,50,50,50,,,,,,,,,,,,,,,,,,,,,,,,11,0,70,11,33,6,21,2,2,2,10,14,7,2,5,7,30,INDIANA PACERS,5,12,12,6.363636363636363,2025
livinch01,Chris Livingston,21,SMALL FORWARD,58.0,,,,0.2962962962962963,0.5925925925925926,,,,,,1.0,50,50,50,22.0,98.0,50,50,50,50,50,,,,,,,61.25,,5.188400848431871,6.099083667869556,6.904849988742178,7.583037689090057,8.107461182038048,3.458933898954581,4.066055778579705,4.6032333258281195,5.055358459393371,5.404974121358698,4.323667373693226,5.082569723224631,5.754041657285149,6.319198074241714,6.756217651698373,21,1,106,9,27,0,8,12,16,10,25,5,5,0,6,8,30,MILWAUKEE BUCKS,9,19,35,5.047619047619048,2025
chrisjo01,Josh Christopher,23,SHOOTING GUARD,24.0,,,,0.3548387096774194,0.1935483870967742,,,,,,44.0,50,50,50,34.0,42.0,50,50,50,50,50,,,,,1143.5,636.25,,,,,,,,,,,,,,,,,,14,0,69,11,31,2,11,4,6,0,9,8,5,3,6,2,28,MIAMI HEAT,9,20,9,4.928571428571429,2025
garrema01,Marcus Garrett,26,SHOOTING GUARD,,,,,0.2962962962962963,0.14814814814814814,,,,,,,50,50,50,22.0,27.0,50,50,50,50,50,,,,,67.25,,,,,,,,,,,,,,,,,,,4,0,79,11,27,3,8,3,4,1,5,13,3,2,6,10,28,CHARLOTTE HORNETS,8,19,6,19.75,2025
ryanma01,Matt Ryan,27,SMALL FORWARD,,,,,0.6129032258064516,0.06451612903225806,,,,,,,50,50,50,82.0,6.0,50,50,50,50,50,,,,,5.0,,233.5,,9.517308527677674,10.024915070147404,10.327783792378176,10.435514463481095,10.361893695254764,6.344872351785117,6.683276713431603,6.885189194918785,6.957009642320731,6.907929130169844,7.9310904397313955,8.354095891789504,8.60648649364848,8.696262052900913,8.634911412712304,19,0,68,10,31,6,19,2,2,0,8,3,2,0,3,1,28,NEW YORK KNICKS,4,12,8,3.5789473684210527,2025
jonessp01,Spencer Jones,23,SMALL FORWARD,,,,,0.5,0.08823529411764706,,,,,,,50,50,50,61.0,11.0,50,50,50,50,50,,,,,,,,,,,,,,,,,,,,,,,,20,0,125,11,34,1,17,3,3,8,9,5,5,5,5,17,26,DENVER NUGGETS,10,17,17,6.25,2025
cancavl01,Vlatko Čančar,27,POWER FORWARD,49.0,,,,0.5769230769230769,0.0,,,,,,9.0,50,50,50,76.0,3.0,50,50,50,50,50,,,36.5,187.5,131.75,630.5,,,,,,,,,,,,,,,,,,13,0,136,10,26,4,15,0,0,6,26,9,3,2,11,10,24,DENVER NUGGETS,6,11,32,10.461538461538462,2025
nfalyda01,N'Faly Dante,23,CENTER,,,,,0.0,0.38461538461538464,,,,,,,50,50,50,4.0,89.0,50,50,50,50,50,,,,,,,,,,,,,,,,,,,,,,,,4,0,51,10,13,0,0,4,5,6,15,2,1,5,2,9,24,HOUSTON ROCKETS,10,13,21,12.75,2025
gortmja01,Jazian Gortman,21,POINT GUARD,,,,,0.4782608695652174,0.17391304347826086,,,,,,,50,50,50,55.0,35.0,50,50,50,50,50,,,,,,,,,,,,,,,,,,,,,,,,16,0,57,9,23,4,11,2,4,1,4,6,2,1,5,9,24,DALLAS MAVERICKS,5,12,5,3.5625,2025
crowdja01,Jae Crowder,34,POWER FORWARD,34.0,,,,0.6818181818181818,0.2727272727272727,,,,,,26.0,50,50,50,88.0,66.0,50,50,50,50,50,,1778.0,,1268.5,1483.0,283.25,694.75,,17.10642127372104,16.24308430013277,15.220526512818834,14.079962368741121,12.862582000241304,11.40428084914736,10.828722866755182,10.147017675212558,9.386641579160749,8.575054666827537,14.2553510614342,13.535903583443977,12.683772094015696,11.733301973950935,10.71881833353442,9,2,103,7,22,4,15,5,6,6,14,6,3,0,4,10,23,SACRAMENTO KINGS,3,7,20,11.444444444444445,2025
jonesma05,Mason Jones,26,SHOOTING GUARD,,,,,0.4444444444444444,0.2777777777777778,,,,,,,50,50,50,47.0,68.0,50,50,50,50,50,,,,,49.0,,21.75,,9.253541620659371,9.532980667416323,9.56812962397802,9.480447480040763,9.27766968090171,6.169027747106248,6.3553204449442156,6.378753082652014,6.320298320027176,6.185113120601141,7.711284683882809,7.944150556180269,7.973441353315017,7.900372900033969,7.731391400751425,10,0,45,9,18,1,8,4,5,2,7,11,0,1,1,3,23,SACRAMENTO KINGS,8,10,9,4.5,2025
roweja01,Jackson Rowe,28,POWER FORWARD,,,,,0.5882352941176471,0.35294117647058826,,,,,,,50,50,50,77.0,85.0,50,50,50,50,50,,,,,,,,,,,,,,,,,,,,,,,,6,0,52,8,17,3,10,3,6,3,8,4,4,0,1,4,22,GOLDEN STATE WARRIORS,5,7,11,8.666666666666666,2025
liddeej01,E.J. Liddell,24,POWER FORWARD,41.0,,,,0.6666666666666666,0.13333333333333333,,,,,,17.0,50,50,50,86.0,22.0,50,50,50,50,50,,,,,,,18.75,,3.5576461991307577,3.8207696068929278,3.9890721776333016,4.062171353552936,4.041151506664574,2.3717641327538383,2.547179737928619,2.6593814517555345,2.708114235701957,2.6941010044430493,2.964705165942298,3.1839746724107734,3.324226814694418,3.385142794627446,3.3676262555538115,12,0,53,8,15,3,10,2,2,3,6,3,1,1,2,11,21,CHICAGO BULLS,5,5,9,4.416666666666667,2025
millele01,Leonard Miller,21,SMALL FORWARD,33.0,,,,0.3333333333333333,0.5333333333333333,,,,,,27.0,50,50,50,30.0,96.0,50,50,50,50,50,,,,,,,71.5,,4.546115321014122,4.988642530827449,5.407030804684463,5.7687126227912895,6.045944272608294,3.0307435473427486,3.3257616872182996,3.6046872031229755,3.8458084151941936,4.030629515072196,3.7884294341784357,4.157202109022874,4.505859003903719,4.8072605189927415,5.038286893840245,13,0,32,6,15,0,5,8,8,3,8,0,2,1,2,2,20,MINNESOTA TIMBERWOLVES,6,10,11,2.4615384615384617,2025
chrisca02,Cam Christie,19,SHOOTING GUARD,46.0,,,,0.5416666666666666,0.16666666666666666,,,,,,12.0,50,50,50,70.0,32.0,50,50,50,50,50,,,,,,,,,,,,,,,,,,,,,,,,13,0,59,7,24,2,13,2,4,3,9,6,5,1,2,4,18,LOS ANGELES CLIPPERS,5,11,12,4.538461538461538,2025
minayju01,Justin Minaya,25,SMALL FORWARD,,,,,0.47619047619047616,0.09523809523809523,,,,,,,50,50,50,54.0,13.0,50,50,50,50,50,,,,,,53.75,196.0,,12.363758412913397,13.653210493683188,14.568769148039717,15.07048173963028,15.330343637175105,8.242505608608932,9.102140329122127,9.712512765359811,10.046987826420187,10.220229091450072,10.303132010761164,11.377675411402658,12.140640956699764,12.558734783025233,12.775286364312588,19,0,101,8,21,2,10,0,2,5,5,7,6,1,5,12,18,PORTLAND TRAIL BLAZERS,6,11,10,5.315789473684211,2025
bouyeja01,Jamaree Bouyea,25,POINT GUARD,,,,,0.4166666666666667,0.5,,,,,,,50,50,50,41.0,96.0,50,50,50,50,50,,,,,,,,,,,,,,,,,,,,,,,,5,1,62,6,12,1,5,4,6,1,4,10,4,2,8,2,17,MILWAUKEE BUCKS,5,7,5,12.4,2025
dukeda01,David Duke Jr.,25,SHOOTING GUARD,,,,,0.42857142857142855,0.14285714285714285,,,,,,,50,50,50,44.0,25.0,50,50,50,50,50,,,,,250.75,165.75,48.5,,13.284248643527727,14.150124462249467,14.662225725720969,14.79674893067109,14.733401215677798,8.85616576235182,9.433416308166313,9.774817150480647,9.86449928711406,9.822267477118533,11.070207202939773,11.79177038520789,12.218521438100808,12.330624108892575,12.277834346398166,6,0,34,6,14,3,6,1,2,1,4,4,1,0,2,1,16,SAN ANTONIO SPURS,3,8,5,5.666666666666667,2025
flynnma01,Malachi Flynn,26,POINT GUARD,29.0,,,,0.3076923076923077,0.46153846153846156,,,,,,34.0,50,50,50,24.0,95.0,50,50,50,50,50,,,,772.0,414.25,483.5,,,,,,,,,,,,,,,,,,4,0,44,5,13,1,4,5,6,3,4,7,3,0,4,4,16,CHARLOTTE HORNETS,4,9,7,11.0,2025
inglejo01,Joe Ingles,37,SMALL FORWARD,,,,,0.6521739130434783,0.0,,,,,,,50,50,50,84.0,3.0,50,50,50,50,50,2098.5,2249.5,1695.0,1646.5,758.75,752.5,840.5,,15.42058663773785,14.035555681744702,12.62516305986956,11.226610537300935,9.871455737898756,10.280391091825235,9.357037121163136,8.416775373246374,7.484407024867291,6.580970491932504,12.850488864781543,11.69629640145392,10.520969216557967,9.355508781084113,8.22621311491563,19,1,114,6,23,3,15,0,0,2,9,23,2,0,9,12,15,MINNESOTA TIMBERWOLVES,3,8,11,6.0,2025
klintbo01,Bobi Klintman,21,SMALL FORWARD,37.0,,,,0.5,0.2,,,,,,22.0,50,50,50,61.0,44.0,50,50,50,50,50,,,,,,,,,,,,,,,,,,,,,,,,8,0,42,6,10,2,5,1,2,1,6,7,2,1,1,8,15,DETROIT PISTONS,4,5,7,5.25,2025
umudest01,Stanley Umude,25,SHOOTING GUARD,,,,,0.5769230769230769,0.15384615384615385,,,,,,,50,50,50,76.0,29.0,50,50,50,50,50,,,,,,6.0,230.25,,9.795158458650294,10.523724969065627,10.968329374336527,11.114765494924082,11.101274242476523,6.530105639100197,7.015816646043752,7.312219582891018,7.409843663282722,7.400849494984349,8.162632048875246,8.76977080755469,9.140274478613772,9.262304579103402,9.251061868730435,22,0,86,5,26,3,15,2,4,4,13,4,3,6,3,8,15,MILWAUKEE BUCKS,2,11,17,3.909090909090909,2025
hendrta01,Taylor Hendricks,21,POWER FORWARD,9.0,,,,0.6666666666666666,0.2222222222222222,,,,,,76.0,50,50,50,86.0,52.0,50,50,50,50,50,,,,,,,673.75,,24.544393443624756,28.481091959892495,32.20426894974304,32.887009947235455,33.39973163040741,16.362928962416504,18.987394639928333,21.46951263316203,21.924673298156975,22.26648775360494,20.45366120302063,23.734243299910414,26.836890791452536,27.405841622696215,27.833109692006175,3,3,75,4,18,3,12,3,4,5,10,2,5,4,2,8,14,UTAH JAZZ,1,6,15,25.0,2025
